Difference of "all_files" between "1.19.50.20" (beta of "1.19.50") and "1.19.50.24" (beta of "1.19.50").
Unable to create data files for 3 files between: "1.19.50.21", "1.19.50.22", "1.19.50.23"

Total file: 15026 (+817, -84)
Added file "CWVxse1Ul2hCzGsBZkan/5mDuIwMIDUwCYdK" of "b5cc8ad9fea4e4164fb649cff2ab5d5ae83989e9".
Added file "CWVxse1Ul2hCzGsBZkan/cIdFdMkkFwzzLWD" of "6250402f87b1f98a9d5a9422f3897052759da5cc".
Removed file "TfjchzKEuK2SU00OuaVI/FvgMOBGhOlYzjwU" of "d86fc6997f6f277169e7c9cb50ec7eea4fa807ec".
Removed file "TfjchzKEuK2SU00OuaVI/kukrtb7HZM9GOTP" of "a1f9afb2b6d70d6731b49e562ed7723ef6dd5e77".
Added file "behavior_packs/experimental_next_major_update/contents.json" of "59ec77736de16c0e64f137a69e68ba6f946b3e6a".
Added file "behavior_packs/experimental_next_major_update/entities/boat.json" of "3f3ac70b1c3cb3cc46b012cf55307f1aade01066".
Added file "behavior_packs/experimental_next_major_update/entities/camel.json" of "bfd34048928ca8ff20aeddafb9564712b74ff5f2".
Added file "behavior_packs/experimental_next_major_update/entities/chest_boat.json" of "3bb43262066f90061174b643732aeca284882f11".
Added file "behavior_packs/experimental_next_major_update/manifest.json" of "ebd747a88b7e005930f030b0fdba42537c077205".
Added file "behavior_packs/experimental_next_major_update/recipes/acacia_hanging_sign.json" of "8eaddc6ed06d2863f672b02fb87f3315105d64e0".
Added file "behavior_packs/experimental_next_major_update/recipes/bamboo_button.json" of "fe71328c20f35e1c379968b5901c00304aaa9bd3".
Added file "behavior_packs/experimental_next_major_update/recipes/bamboo_chest_raft.json" of "3cc898002615ba10dd9653ce11c0628a6e0caaa9".
Added file "behavior_packs/experimental_next_major_update/recipes/bamboo_door.json" of "453329bbc352f37742cd01ff60085a265b470934".
Added file "behavior_packs/experimental_next_major_update/recipes/bamboo_fence.json" of "2951b0efff471cc4c6d78539d976daa8a55116d3".
Added file "behavior_packs/experimental_next_major_update/recipes/bamboo_fence_gate.json" of "a04e6393772d3b1db65fffa0b2744083175525f0".
Added file "behavior_packs/experimental_next_major_update/recipes/bamboo_hanging_sign.json" of "6cf3d5934c02349e8cebdf61967acb6aff25da00".
Added file "behavior_packs/experimental_next_major_update/recipes/bamboo_mosaic.json" of "d2482ae553bd468334423322b1468ae4e5ecc089".
Added file "behavior_packs/experimental_next_major_update/recipes/bamboo_mosaic_slab.json" of "9274267204d73295022bcd816ee25a8c3a7deffe".
Added file "behavior_packs/experimental_next_major_update/recipes/bamboo_mosiac_stairs.json" of "63b381f75b8adfd1af29dbbd6034d2f78bda5dc0".
Added file "behavior_packs/experimental_next_major_update/recipes/bamboo_planks.json" of "8eae49f2b1fd4252ad424bab95afeb3938e150cd".
Added file "behavior_packs/experimental_next_major_update/recipes/bamboo_pressure_plate.json" of "12741301344643be78e218c38e267aefb81423f8".
Added file "behavior_packs/experimental_next_major_update/recipes/bamboo_raft.json" of "9a15b1ecdcd4292f4b9c41f6f49d072da701cf04".
Added file "behavior_packs/experimental_next_major_update/recipes/bamboo_sign.json" of "2bc14684e6aded3be82be2ce1e422368519c635e".
Added file "behavior_packs/experimental_next_major_update/recipes/bamboo_slab.json" of "e1c7d7506b0b1326420d0a380783002d32a84332".
Added file "behavior_packs/experimental_next_major_update/recipes/bamboo_stairs.json" of "9e995cafb462a6ee5beb5dcca733c87889c2d2ec".
Added file "behavior_packs/experimental_next_major_update/recipes/bamboo_trapdoor.json" of "1da416644a7aabbef32273d04700f10cdd32dd34".
Added file "behavior_packs/experimental_next_major_update/recipes/barrel_from_bamboo_mosaic_slab.json" of "81330e72ccc6e7eff92e4c69691c697080986554".
Added file "behavior_packs/experimental_next_major_update/recipes/barrel_from_bamboo_slab.json" of "295fa4a7e1ddd5ea23494d9b68b13f267657cb50".
Added file "behavior_packs/experimental_next_major_update/recipes/beehive_from_bamboo _planks.json" of "2ef871126e7a84fadf79752ab33bfb0e1885a82d".
Added file "behavior_packs/experimental_next_major_update/recipes/birch_hanging_sign.json" of "0aefd84e40117648a4eface8292a41b536f4f2a3".
Added file "behavior_packs/experimental_next_major_update/recipes/bookshelf_from_bamboo_planks.json" of "8889fad9a988dd8f68fdfc6820a3d28628c580d8".
Added file "behavior_packs/experimental_next_major_update/recipes/bowl_from_bamboo_planks.json" of "d4727e8a93fddfd74cb5655666f53c36053e8965".
Added file "behavior_packs/experimental_next_major_update/recipes/cartography_table_from_bamboo_planks.json" of "34a5530d56e2a743665a7070842491aeef4791be".
Added file "behavior_packs/experimental_next_major_update/recipes/chest_from_bamboo_planks.json" of "fb50f6780c817b857cd91c72f86b795e6e6fa809".
Added file "behavior_packs/experimental_next_major_update/recipes/chiseled_bookshelf.json" of "48c487bd5a13b6e60cc21fe6faa7192e19f6bdff".
Added file "behavior_packs/experimental_next_major_update/recipes/composter_from_bamboo_mosaic_slab.json" of "0879a495b44041876a13a42dcaea386bc039cc83".
Added file "behavior_packs/experimental_next_major_update/recipes/composter_from_bamboo_slab.json" of "03d3e8b1203ff3aff23de56b3bbee3e1577634ad".
Added file "behavior_packs/experimental_next_major_update/recipes/crafting_table_from_bamboo_planks.json" of "ee30ea7351a9f17cd485bbc9c4d7cdac5533d62b".
Added file "behavior_packs/experimental_next_major_update/recipes/crimson_hanging_sign.json" of "c965b49cccd8e99fb2908356708935d2db83ef2b".
Added file "behavior_packs/experimental_next_major_update/recipes/dark_oak_hanging_sign.json" of "797071bfec69e3dc299c05612c561411cbbd74b1".
Added file "behavior_packs/experimental_next_major_update/recipes/daylight_detector_from_bamboo_mosaic_slab.json" of "910b4eaf50d04c7497e822aa1391363d82c1c097".
Added file "behavior_packs/experimental_next_major_update/recipes/daylight_detector_from_bamboo_slab.json" of "a7a1e141e5dfb2f09489c4cf5d4bb045dfdab39f".
Added file "behavior_packs/experimental_next_major_update/recipes/fletching_table_from_bamboo_planks.json" of "3e1f7fbd86d35f6b73013942b856bef16ea4b519".
Added file "behavior_packs/experimental_next_major_update/recipes/grindstone_from_bamboo_planks.json" of "ac36b7c20f74214036bf4b55f252603c21f1afc1".
Added file "behavior_packs/experimental_next_major_update/recipes/grindstone_from_bamboo_planks2.json" of "3aa711a92116528216d5f4c09c783ff5eac9e791".
Added file "behavior_packs/experimental_next_major_update/recipes/grindstone_from_bamboo_planks3.json" of "bba597abeefaabfaebfa53b09e415530b84df112".
Added file "behavior_packs/experimental_next_major_update/recipes/grindstone_from_bamboo_planks4.json" of "4e4cbec7ab98479d294b97249a6b6581c0cb8197".
Added file "behavior_packs/experimental_next_major_update/recipes/jukebox_from_bamboo_planks.json" of "e64edf74f0587123f6771ae4cc2d7773cb55fc33".
Added file "behavior_packs/experimental_next_major_update/recipes/jungle_hanging_sign.json" of "a88f98c1b49c6673a8ef9c74361764fafe79eb67".
Added file "behavior_packs/experimental_next_major_update/recipes/lectern_from_bamboo_mosaic_slab.json" of "f404460927be07d206ad6cf13537761a56dc6c16".
Added file "behavior_packs/experimental_next_major_update/recipes/lectern_from_bamboo_slab.json" of "95d6fc448613b10a6573ccd7b2bcb647f3a75342".
Added file "behavior_packs/experimental_next_major_update/recipes/loom_from_bamboo_planks.json" of "2d991d91990724cc854c8e0cce8344f81adaa23b".
Added file "behavior_packs/experimental_next_major_update/recipes/mangrove_hanging_sign.json" of "90cb7833610cd47d69687aa2393dfb5ce58cbdf8".
Added file "behavior_packs/experimental_next_major_update/recipes/noteblock_from_bamboo_planks.json" of "734e81762ff5a470928c1b039019b25afb3ea9b0".
Added file "behavior_packs/experimental_next_major_update/recipes/oak_hanging_sign.json" of "b9a43ab8bcc1287e1b048f9ad78f77b1eebae141".
Added file "behavior_packs/experimental_next_major_update/recipes/piston_from_bamboo_planks.json" of "6a01e3872ee6e8201c9702702b6cd7fef753b5c6".
Added file "behavior_packs/experimental_next_major_update/recipes/shield_from_bamboo_planks.json" of "13da4c1a4e2fe5c0af4d725104046bb506b45759".
Added file "behavior_packs/experimental_next_major_update/recipes/smithing_table_from_bamboo_planks.json" of "2653d1a6b340343859971f6e15f0e6c16476b1cf".
Added file "behavior_packs/experimental_next_major_update/recipes/spruce_hanging_sign.json" of "f439eca6598c9a0d028764dbf23b167b3f9e2e66".
Added file "behavior_packs/experimental_next_major_update/recipes/stick_from_bamboo_planks.json" of "685033d25e8af4abaa1f48b2ed0adef1589f7fd9".
Added file "behavior_packs/experimental_next_major_update/recipes/tripwire_hook_from_bamboo_planks.json" of "2e9a7a1bfda390f2f627e5a0d99bb81acc5fa36a".
Added file "behavior_packs/experimental_next_major_update/recipes/warped_hanging_sign.json" of "813f770c94cec1bdff994f6bcf6c35906095cde9".
Added file "behavior_packs/experimental_next_major_update/recipes/wooden_axe_from_bamboo_planks.json" of "74751f372a0af90dd07df3bc888debcd5800326d".
