Difference of "all_files" between "a0.15.10" and "a0.16.0_build1" (beta of "a0.16.0").

Total file: 4774 (+457, -2004)
Added file "background.images" of "7ed1c78b76c69f6fa6e39c8a021dcf748d11f522".
Added file "commands/client-only-test.json" of "486b5edb06d2c9cb2a8b228acc45ca0fa614e2b2".
Added file "commands/client-only.json" of "5647ea8937f429dd13253bb9ed54fd3ba89835eb".
Added file "commands/dedicated-test.json" of "801a40e5ad4537a09408b7b77f1768154d6d6c16".
Added file "commands/education.json" of "cbaae4ee97ad120d1376bfc91b18410c71f4d08a".
Added file "commands/pregame-test.json" of "43545b1b326d2198cbc929f263be96ffb9f9df26".
Added file "commands/pregame.json" of "6773b1da97b91f70813cd81f8a9982329c9cfb0d".
Added file "commands/standard-test.json" of "1305faefadbcfc0d754964db21e1c888fcc7de52".
Added file "commands/standard.json" of "d35918e797567cae81ae0892c1512923c76af1aa".
Added file "def_action_test.json" of "4d27f2f50b77b3fdaec9c704210be7e09b15469a".
Removed file "images/background.images" of "d67ab258f0284947c10435429b07d900828a7822".
Removed file "images/dynamic_resources.json" of "e3900de77027fd1a98f3a83849d96aec4798d9ed".
Removed file "images/font/glyph_sizes.bin" of "822f8be3025a81fb5be51472dfc07ca829aead4d".
Removed file "images/gui/achievements/achievement_1.jpg" of "209b2c130d9a015bc5c8c8f29094bbe9498d5409".
Removed file "images/gui/achievements/achievement_10.jpg" of "86f7e8628b1ffcae4949da9cf31dfa0f96509887".
Removed file "images/gui/achievements/achievement_11.jpg" of "61a325b966652c32a69f498057dfdd38a2556d5d".
Removed file "images/gui/achievements/achievement_13.jpg" of "dd092584eb7b505e429423703c71b4ff97c5fe40".
Removed file "images/gui/achievements/achievement_14.jpg" of "08eff14b96bf5f552d3920551fbb26d30f8033fa".
Removed file "images/gui/achievements/achievement_15.jpg" of "c24af89fad52962dbfe6a8a75059f5e93da38c9b".
Removed file "images/gui/achievements/achievement_16.jpg" of "d41a3cbcd6057c66f31ba965f27fe11b50dd867d".
Removed file "images/gui/achievements/achievement_17.jpg" of "987db39f931cf6373d7c5d0d2147e68813d84ce4".
Removed file "images/gui/achievements/achievement_18.jpg" of "4b2357d73cb46ba427156a605302193b52759734".
Removed file "images/gui/achievements/achievement_19.jpg" of "f19ce8d12a9b204d92e8fda3c3c582782dd7f0a1".
Removed file "images/gui/achievements/achievement_2.jpg" of "8105d9499894eac3fc4750aa28b54764fbf478c3".
Removed file "images/gui/achievements/achievement_20.jpg" of "8090dc918928b2e617b0057f98c840f0905cfaa2".
Removed file "images/gui/achievements/achievement_21.jpg" of "6b33d7438b88c6cd27b0d5ef8fb32c35514b6719".
Removed file "images/gui/achievements/achievement_22.jpg" of "2f4bbb6dc715b587701c4edf16d13bb76bd92785".
Removed file "images/gui/achievements/achievement_23.jpg" of "be7c64aca3b5f076c128a8d383b95253f98c3f8a".
Removed file "images/gui/achievements/achievement_24.jpg" of "026280dc6144cb7073d3b76e86f5324000ea9404".
Removed file "images/gui/achievements/achievement_25.jpg" of "5e851283a626b7f150e9044fc810d5fddcb90c5c".
Removed file "images/gui/achievements/achievement_26.jpg" of "32ee784b8a146806aa1a36ef46ff0586c1604962".
Removed file "images/gui/achievements/achievement_27.jpg" of "2aa66892b022d9799bb9afee6c1e6b0f449a477f".
Removed file "images/gui/achievements/achievement_28.jpg" of "26be6e91df28ffa04998b040322ead50c6bde38b".
Removed file "images/gui/achievements/achievement_29.jpg" of "69b203ee22fcd2b4180e6ee67ca1967036306c27".
Removed file "images/gui/achievements/achievement_3.jpg" of "5a790ed96635c4e928f396a7527c4ad36acf0794".
Removed file "images/gui/achievements/achievement_30.jpg" of "c3adb6e9659e6bfd1041e364dd58d91e143b104c".
Removed file "images/gui/achievements/achievement_31.jpg" of "bc3da568d12da9d41e6116374c8bfafbfae4654c".
Removed file "images/gui/achievements/achievement_32.jpg" of "beb12091bdd31850ccb3946d353d3de5e5cb1373".
Removed file "images/gui/achievements/achievement_33.jpg" of "80cfb34ef83308fc69be4da5aafec5f75d1cd906".
Removed file "images/gui/achievements/achievement_34.jpg" of "b7e820c2bb77514ae34938648a9576214ec22470".
Removed file "images/gui/achievements/achievement_35.jpg" of "86d1c27b910d0bb1f6cd233ada9ba26d92057518".
Removed file "images/gui/achievements/achievement_36.jpg" of "7c7c3a50bf37fdc4250a14b6d13ca03170e4f755".
Removed file "images/gui/achievements/achievement_37.jpg" of "d5f9511e23d6e66c4f64a66ac5929ad69a340341".
Removed file "images/gui/achievements/achievement_38.jpg" of "24c88fc3120cf48966ed8594cd7c3f5ff881b6d6".
Removed file "images/gui/achievements/achievement_39.jpg" of "06b0a7ec9b408f1ab5eebf59332014b12593935f".
Removed file "images/gui/achievements/achievement_4.jpg" of "72e415c7a25a863171a70d8f7425ef7fde28152f".
Removed file "images/gui/achievements/achievement_40.jpg" of "f7025cca64fc61c73d5131e749d3f72b315c41fe".
Removed file "images/gui/achievements/achievement_41.jpg" of "d5b623f932e94666be98aa94520502d064cff247".
Removed file "images/gui/achievements/achievement_42.jpg" of "4c86adc6dab367eea217c7aaec641341cd4e79a5".
Removed file "images/gui/achievements/achievement_43.jpg" of "2c2d6c8f058cdbf613795fedb43d9af5fc9df88c".
Removed file "images/gui/achievements/achievement_44.jpg" of "082e924cb85bc8d32632df9a8bcdd68ac5ebb46d".
Removed file "images/gui/achievements/achievement_45.jpg" of "d1a08b9ea880f41c1b4777cdd335cd0f27d06bec".
Removed file "images/gui/achievements/achievement_48.jpg" of "b17f4e92ccc190af10a38dc675d5d4abb315e16b".
Removed file "images/gui/achievements/achievement_49.jpg" of "4ce69e9a939d7bff2ec76bf877a7b2710f803520".
Removed file "images/gui/achievements/achievement_5.jpg" of "5fb50e464a75c6305c67ed1aa14b3635105b37cf".
Removed file "images/gui/achievements/achievement_50.jpg" of "c5272799f0cb4f74c81fa34e11086dc410519fcc".
Removed file "images/gui/achievements/achievement_51.jpg" of "4778a06b23a4f8e895fc0dd710872755950a5e0d".
Removed file "images/gui/achievements/achievement_52.jpg" of "f9bca5532d7b6385048c270b6fb9f76fe0613fc3".
Removed file "images/gui/achievements/achievement_53.jpg" of "caef94a5ffb65a0660fd5daf17bc2d679aaf1110".
Removed file "images/gui/achievements/achievement_54.jpg" of "ca8fa872d9ae08bebcd589dcd5a21ab449e700de".
Removed file "images/gui/achievements/achievement_55.jpg" of "833497c7c0b782c78c838c2cf4faf194964a3417".
Removed file "images/gui/achievements/achievement_56.jpg" of "b4fe3fa26193fee7f80573c6d00d38887119c905".
Removed file "images/gui/achievements/achievement_58.jpg" of "b84981d82f801abfec9ef034e6e6f83b6b643c3a".
Removed file "images/gui/achievements/achievement_59.jpg" of "d6073675e25a307d36e6b5a9374bc66309c108d7".
Removed file "images/gui/achievements/achievement_6.jpg" of "2e3fd6dbb2d15f2ce7ea2d3c99583ca1ba66ca64".
Removed file "images/gui/achievements/achievement_60.jpg" of "ecbfd3b5d7660b6b0d2f189a6afb05e69acd71ee".
Removed file "images/gui/achievements/achievement_7.jpg" of "aaea3160534be9a17af6303739f141f8169486ce".
Removed file "images/gui/achievements/achievement_8.jpg" of "23cbd86c6c11ae0d012f0210615c141bc60e3982".
Removed file "images/gui/achievements/achievement_9.jpg" of "34f6e668348be953965417325cb78039da1fd26c".
Removed file "images/gui/amazon/boston_buttons.png" of "dacf7b353c78a53200cabd02d6421bafc77c2727".
Removed file "images/gui/gui.png" of "f072d077e6ce5f9d2870e78eeba48808cfacb4ce".
Removed file "images/gui/newgui/Local.png" of "9a54ff25ff291a166aeb274beb2df09f40a68eae".
