Difference of "all_files" between "1.18.0.25" (beta of "1.18.0") and "1.18.0.27" (beta of "1.18.0").

Total file: 13314 (+3, -1)
Added file "noQlbANSfvi6lRRxbEUD/nY5zfohOOZpvZN5": "10e16e0e675c4be17e4ae789449fb278f8bdabdf".
Moved file from "uvAp7nhcntUIPgyWFZXf/5cAjH3vpROJ6HQW" to "noQlbANSfvi6lRRxbEUD/vSpgR6PWXiAFHaG".
Changed file "resource_packs/experimental_caves_and_cliffs/texts/cs_CZ.lang" from "a20c6fd344a524bd79ac220f90be6b3a87fdb2e1" to "06738a8546e0aa621282868e997cfac1585135af".
Changed file "resource_packs/experimental_caves_and_cliffs/texts/nl_NL.lang" from "53af85049eba096c690729913887f19eb62c83fb" to "9ef43120e88449edab69c23f9851122d71365edc".
Changed file "resource_packs/experimental_vanilla_experiments/texts/cs_CZ.lang" from "eed78f97f0cb367f7c8dff6391b7092577188803" to "0a16a6b861d57ffecc3ae4c40f15c0b62407cca7".
Changed file "resource_packs/experimental_vanilla_experiments/texts/nl_NL.lang" from "346649b0b92b782d7858be7bec9e7692164e16c6" to "f4ef7ac8feb3582cb237b743ebb84f800f6a0130".
Changed file "resource_packs/vanilla/contents.json" from "286da38b5b884a2b604b41b8838af0fcb30907f6" to "077352209a3d281f8ebedc8d8047314772235080".
Changed file "resource_packs/vanilla/texts/bg_BG.lang" from "9f2c815827429971edebafc0b8eddaa3cfdd033e" to "bf1bbc43a9723c1c47b7fc7dd9749cff0c7aa65f".
Changed file "resource_packs/vanilla/texts/cs_CZ.lang" from "5999c2f0a6612a6c539489a854c4bf39e8cff666" to "24fc6ec26a773b9c7d65a2c63f15fd6810af81b9".
Changed file "resource_packs/vanilla/texts/da_DK.lang" from "b50bb9a936a2215f97507007ac6b86dabb8614fa" to "9c9c57480e1339e58b5002ca2f516fe824e62dff".
Changed file "resource_packs/vanilla/texts/de_DE.lang" from "eac1d81f8132ec99725338bda50a550b0b9b7670" to "c820b75303cf0838fdec1cf4ec3d53542188a145".
Changed file "resource_packs/vanilla/texts/el_GR.lang" from "3da35b3376b98b34f9a1b422b47e69cc4176f05e" to "a8fafdeb20a339876bea2ded51a1548639256be5".
Changed file "resource_packs/vanilla/texts/en_GB.lang" from "9f04b953c8a6bc74bedddf0e8d4fe7abc7fb1215" to "1b0788f53ec922b3c553e8d72df83a503837d869".
Changed file "resource_packs/vanilla/texts/es_ES.lang" from "9b4e5ce9d58fac0335344400161696d31448b261" to "61504b54c7bcbc1577a7fbf02b0f0063439d0a9f".
Changed file "resource_packs/vanilla/texts/es_MX.lang" from "51d63d1745e2fcfdc58621e2f552093a110884b8" to "6a95d8c1872af229e3338c8a4830d49022c3f98b".
Changed file "resource_packs/vanilla/texts/fi_FI.lang" from "3d612570901a585749af580f2b7be9d5ca28e2c5" to "78e3a4fd54bc7534c930a9d4aa817e81e8476c20".
Changed file "resource_packs/vanilla/texts/fr_CA.lang" from "effa341d38fc48b7b4f06520589eb5b243adee9e" to "1ca3f48afdda4bbf6b51e1728f9e984b42f0bab1".
Changed file "resource_packs/vanilla/texts/fr_FR.lang" from "b58fa225ba0e86e797a552f24251938fec8cd161" to "572220073f2541db730ca042deeb02eaeb07c000".
Changed file "resource_packs/vanilla/texts/hu_HU.lang" from "aaa630ae149eabc3a687f40a0bb5460d024420c4" to "e886365e0fd8b69eee49557aafd922d5383c1305".
Changed file "resource_packs/vanilla/texts/id_ID.lang" from "4ea1e2bb51bea390d375a46a35d6406c0e15b487" to "d7ead85dd9636ba46d86f27d8ce0f88897d2e89d".
Changed file "resource_packs/vanilla/texts/it_IT.lang" from "fb9bdd5798204bb0d548923367a5cbf1d024799b" to "e0809cbe7818f3b9285ae8216cd2ea730c3325b8".
Changed file "resource_packs/vanilla/texts/ja_JP.lang" from "d66d4278b7f64b8ff4504e1644f5786bf13f5829" to "d96ecd798f08d8c7108ce4c7ba8ca64e32f1d12b".
Changed file "resource_packs/vanilla/texts/ko_KR.lang" from "dac51594b1e88b93f50531b42971f481ed1c64a1" to "6f4d7df401243312efc4319633930ab974035b61".
Changed file "resource_packs/vanilla/texts/nb_NO.lang" from "fa56584cadd24707834e8ad46b10049eda7482c7" to "3319a728f509b127f5c3f4e06619ddb9bdf715ae".
Changed file "resource_packs/vanilla/texts/nl_NL.lang" from "27ee34fb0104b7f9e1d92cfb33f763d5db9a14ab" to "84781ab091d3bf919bc6c61fb4e405a9957b2639".
Changed file "resource_packs/vanilla/texts/pl_PL.lang" from "09405923943fb08851d8317202deed13b25c8ced" to "05c4221250689c4bafba0c9fb223fa791a803af1".
Changed file "resource_packs/vanilla/texts/pt_BR.lang" from "1492b6dd8120c3a11f85bf1961837d8df9b86e68" to "0728bc01f552b361cc28bdb149a720699660ace7".
Changed file "resource_packs/vanilla/texts/pt_PT.lang" from "a8b84aff52218cca7834f7e957da6e872891c7ff" to "3cb3195f938c7d56066d8f084918dd08b4a294f2".
Changed file "resource_packs/vanilla/texts/ru_RU.lang" from "cf65680b359b8dbeef8a20972344f9d037793b50" to "a14da80007e2c7f997b2e0d5428708f74dc06019".
Changed file "resource_packs/vanilla/texts/sk_SK.lang" from "cd7d6a147cc75351d4256b8388c9c01eb780f5ec" to "652969424cfd2d2fed4db157d3a7cdda3de7ab20".
Changed file "resource_packs/vanilla/texts/sv_SE.lang" from "f9c276fff71fcb92ffad94ed6bb4c99846bcfa1c" to "2d046c0a8d5be5a58c8ea698e9489d24457e3dad".
Changed file "resource_packs/vanilla/texts/tr_TR.lang" from "291905fc61e21ca8003fdbb3a8d71eec873af932" to "4a763b3f9aa7ea69be7f049d33c6f40664fed0d8".
Changed file "resource_packs/vanilla/texts/uk_UA.lang" from "2e298246194eb91b97148886752466e891153be9" to "3f61caa6439a9dff209f5c6b1b9db0d525736ede".
Changed file "resource_packs/vanilla/texts/zh_CN.lang" from "2cf10d84f7dd564dea5ead43db59ec35c4ff763a" to "a59ceef9c4fc1b60b7b5033465a616fc18f6e15e".
Changed file "resource_packs/vanilla/texts/zh_TW.lang" from "10e457d72def2d44d2f0715997fbc7379a69a0b1" to "15d033f819a39411a01f1211b3d155224f82cef0".
Added file "resource_packs/vanilla/textures/ui/world_upgrade.json": "e889a94eb05c9d7c921fe0b7234dad0121ff7ffb".
