Difference of "all_files" between "1.21.30.24" (beta of "1.21.30") and "1.21.30.25" (beta of "1.21.30").

Total file: 19737 (+1, -2)
Removed file "gui/dist/hbui/assets/external-link-0e493.png": "5d327c0cc4e638b46c36cc682636b64697267700".
Removed file "gui/dist/hbui/index-5f200.js": "c2c5cc5c5f1e7f048609e24feb53fa8741919bb3".
Added file "gui/dist/hbui/index-c0d53.js": "99d58a2bca9362eb05d2d36c5062e925dad448d8".
Moved file from "gui/dist/hbui/index-5f200.js.LICENSE.txt" to "gui/dist/hbui/index-c0d53.js.LICENSE.txt".
Changed file "gui/dist/hbui/index.html" from "2df8732f90a92760c6fcde6f47c7f0239535b47f" to "ecdf677f28bf578483f6c97e09371f814e55e0d2".
Changed file "resource_packs/experimental_bundles/texts/bg_BG.lang" from "af108cad4d85c975678cecc3162695f9523ebf9d" to "96d110b5c17f5d05edf15cacb35be2457d3ac881".
Changed file "resource_packs/experimental_bundles/texts/cs_CZ.lang" from "831021b9eef10be19df4319f2e9bc850a74bfa38" to "662caaa7d8ba5e7acf1f6d2a5fef8a79e33ddf90".
Changed file "resource_packs/experimental_bundles/texts/da_DK.lang" from "bb0470b7adfa20548c75259ffce056332e83caa7" to "226899f9da6ec8061205d3d175889c00bdf2e652".
Changed file "resource_packs/experimental_bundles/texts/de_DE.lang" from "e9df4a96fe7a7c21c8a16ffa5639eee0d4731163" to "6d782f5c07704df8096afb20fcdfdb22c386a1b5".
Changed file "resource_packs/experimental_bundles/texts/el_GR.lang" from "4519ee30f1b32b38719bc60d27f53857ae336425" to "99b15dd0b066faf4109ab9afaac3a1b80be7747a".
Changed file "resource_packs/experimental_bundles/texts/en_GB.lang" from "ea44f20c1d2c65523fa56d1b45a2a07e0ee43697" to "4a8cf0235200152a164fc62fc9dc0da0739769c6".
Changed file "resource_packs/experimental_bundles/texts/es_ES.lang" from "992b2d8900e23a191f7b7fa7292bfcac33734c3a" to "f5fd00730d8d80e375d591312b4c13f5f716b812".
Changed file "resource_packs/experimental_bundles/texts/es_MX.lang" from "ee0a6b523104b8035734ebf67b9e4b1b15b3cdc3" to "f5fd00730d8d80e375d591312b4c13f5f716b812".
Changed file "resource_packs/experimental_bundles/texts/fi_FI.lang" from "4e23bcd0028a68d3fdec8d5c3329791faa11b92f" to "ab126ad187228f4d0d5d04b37c68e9628dbc76da".
Changed file "resource_packs/experimental_bundles/texts/fr_CA.lang" from "aec2ef9cac596604bba3f551875349d86c4485f9" to "5868572ced7dffc84f15545e0aaa3abd345d90f2".
Changed file "resource_packs/experimental_bundles/texts/fr_FR.lang" from "e4df8e03ac778b4a9f0f6f016595a0cc374087b8" to "d80403cb51d44376e266e4e195073783765276c3".
Changed file "resource_packs/experimental_bundles/texts/hu_HU.lang" from "a4ad22421b0ddc9e63f65e7a7a09b19cefa76784" to "7f5c34e2740a2524cec1acddef9a1c92f807fa3d".
Changed file "resource_packs/experimental_bundles/texts/id_ID.lang" from "9212ecbe081e233f30935b760671089bc07278cf" to "5a9e6addd3e615561b7fc4d963e4f8f8814094ec".
Changed file "resource_packs/experimental_bundles/texts/it_IT.lang" from "d3530e8f98b08b344157daae5d3ec4af479d6fd2" to "e94428a8fdf36765e9dfc434ffba1d4d1c46a064".
Changed file "resource_packs/experimental_bundles/texts/ja_JP.lang" from "94d6cbb500eb35efa05101e9fdad9e5afe531ee1" to "b296ee6a0b4f327b51992e4f0d7c677391387e29".
Changed file "resource_packs/experimental_bundles/texts/ko_KR.lang" from "ea0914267c11692af6eaa4a08448f63b3fd3f38a" to "a914db531438159a89216a1e17ec28665c9befdb".
