Difference of "all_files" between "0.0.20a_02" and "0.0.21a-2008".
Unable to create data files for 1 file between: "0.0.21a-1951"

Changed file "META-INF/MANIFEST.MF" from "dafb922dbdb1791cf549d123457f328b9829b0cb" to "0acaa86873e6e41f4fa1b3cd79c289bcbd397ad1".
Changed file "META-INF/MOJANG_C.DSA" from "6934cabf35e1e464e1b8de9bf89ef432a1aa2d2e" to "49fcd8105061f218a36d5b56c3f593d02804700b".
Changed file "META-INF/MOJANG_C.SF" from "241107350168667021769482052c8c8dc32cb0de" to "6edf1abd080015700aad969cf567440d4f845efc".
Changed file "com/mojang/minecraft/b/a.class" from "6790ce53b801e5432ed62837ca672ebb6b94839d" to "7c151cf7c43b1fbffcef2efb9b1e63fa2000c9d7".
Changed file "com/mojang/minecraft/b/b.class" from "b6d200a23567c14e9236fa9f535325bf0aec2a28" to "0ee9d44e9bcfdd972ba251763db64f5c82407d96".
Changed file "com/mojang/minecraft/b/c.class" from "d3c00b1c3b45a50ae112a450757ccf949eee9b6c" to "3dbbb991c0e4a9c8ca55e54dc4a9156ddb5a67e0".
Changed file "com/mojang/minecraft/b/d.class" from "1c2db2e6f5c9dbd30c55db3ca0694d19a7a101b1" to "f80d7ede7faf728c19ec1c174f04e06639f2ab6b".
Changed file "com/mojang/minecraft/b/f.class" from "bbc7778733fd808ad8cc1c4e8d9dcffcd8108148" to "3ba5a6e4d984b66378ff006c6a9a056f1b9b1980".
Changed file "com/mojang/minecraft/b/h.class" from "ec83aadce6d8bc067449154896c484672324c377" to "4114f82eab708cf3d1573e4d1a117136236de46e".
Changed file "com/mojang/minecraft/b/i.class" from "3ab633054865dbd8984fbff14051948a0e6b4dec" to "7e71775ac5c3a99b3728fd7fd80fcef6d397af20".
Changed file "com/mojang/minecraft/b/j.class" from "7ac776156834a6c54cbaa4072473385743649f80" to "d8bd732275fe8b528c0d2b881dd6fec4222f64ae".
Changed file "com/mojang/minecraft/b/k.class" from "abf8004b4859cbc720e4bf801e44df3c6a342756" to "0d364a0026cf1d55039f44d8737adb9cedcff732".
Changed file "com/mojang/minecraft/d.class" from "600cbb33128d47947b1c0617c87ff9f5719317c8" to "07873fc1f47838431a48b6548bec9497a3c8bd5b".
Changed file "com/mojang/minecraft/e.class" from "01c2491e6c9b24ead267e63e539473514f12b72c" to "0f393840d2c839a09086dd770e72a0bc36022b5a".
Changed file "com/mojang/minecraft/level/Level.class" from "7b3ebacab3cb9c541d7ba5be34f6474634550f3a" to "484a9bbfd13e77c6a440b2408721a0b4a5adc06a".
Changed file "com/mojang/minecraft/level/a/a.class" from "2d26dfcb51ae54bf4551190c1dfcb3a159b5a8cf" to "1a4de034f5a35f231c82e6d014d38b0b2b347f16".
Changed file "com/mojang/minecraft/level/a/d.class" from "2cf6ac6a11b06b49db3c09ac42fcd6cad4dceda3" to "7738514563eee0eeb3576d41653c017f58fcb540".
Changed file "com/mojang/minecraft/level/a/e.class" from "de6a8b66ab2e384b3c841ffeb42129aa37f6dadc" to "139cbc48316b79203625d717be01db8b437b40cf".
Changed file "com/mojang/minecraft/level/a/h.class" from "c5710a36a5db193088ed62c953a603788ece94c3" to "986a40620519ac3b30bf6a8f9534d60230fe2964".
Changed file "com/mojang/minecraft/level/a/k.class" from "43cf68dc363451c68a9a01c8a8680b71fd026678" to "6b40a95a3411fa5d1e1a712a7ba4086095bb20f3".
