Difference of "all_files" between "0.31_20100124-2310" and "0.31_20100125".

Total file: 274 (+2, -0)
Changed file "META-INF/MANIFEST.MF" from "fb1b81b9f69f27db52eef236c228434ce6b97bd2" to "62702923967c621f16e41a719ebadfe46853948f".
Changed file "META-INF/MOJANG_C.DSA" from "42212a6e35a106f01efeb7fe5b6821efa01b5e5e" to "36e964c785b0425f1bc443f3d974c94f88117df1".
Changed file "META-INF/MOJANG_C.SF" from "b017e099f6aeae04c16d1dad7e378425ce665e23" to "aa6e0b9d40a4a114adc81fc4cea1a1f5acd0faa1".
Changed file "net/minecraft/a/a/a/h.class" from "9ad46ca2ef1c21aa3c606a46707a14324c1c1428" to "a1cded72d8141f45e3282db7ea6c01ee8310c05c".
Changed file "net/minecraft/a/a/a/k.class" from "e3ac20b699cdaaf4348ca52dd6a2f09440d9d359" to "e8953a6a237fb15abbd6c2c621dcd2b28d0ac736".
Changed file "net/minecraft/a/a/a/p.class" from "69467a2e9f60e6923bff6e1143acf4a7eccab7e9" to "17250d0cac3510884d927adf79a30b5f1a0a32cd".
Changed file "net/minecraft/a/a/a/t.class" from "20df30c974b90ac3fec309d462e6752d25349623" to "a457bfdcff6d8ba126bcde996123a53aa588607e".
Changed file "net/minecraft/a/a/a/y.class" from "79a49c4b782cad076162c0dc5ede3c948fbbe547" to "b8caf32c2b41fb338516103d0481352c3e114ec6".
Changed file "net/minecraft/a/a/f.class" from "4477c81fb075a3327d9aabd8662c08fe7ed76901" to "25c9a931522119c7479321e77df8e9c23ed440fa".
Changed file "net/minecraft/a/b/a/a.class" from "59cc29c7d46e15cb997800c0c751f5a48e53ef9f" to "aa529a393944c2e10c3d985922ba203ecfbf2540".
Changed file "net/minecraft/a/b/b.class" from "c67bf7cc514ae0491ce4877df7af93d85a5676a2" to "97abc7817fd74c806511fa21a09ecb283db5429a".
Changed file "net/minecraft/a/b/c.class" from "9f88cabff571ebc244fcc28deac16e4c50de365e" to "2d5bbcb004a3c1ff6db58cb0e693021681250c34".
Changed file "net/minecraft/a/b/c/a.class" from "4fddeff8c5c89b4163fe243befab2109843fe414" to "43d51f4d7f07169a59a11a9eb20691c002fd14f2".
Changed file "net/minecraft/a/b/d.class" from "1c21f8eee7b3160fe0f4118dffe0ffd79d3062dc" to "08617bbd7b21aaf58cb3ca0ebe83ae04b93f159b".
Changed file "net/minecraft/client/a/a/c.class" from "be1fb762a1b6a729bdb65ced7cca497fc7dc5afe" to "0ec87b19ca83b584b04837a1489d431b57953a78".
Changed file "net/minecraft/client/a/b.class" from "18a6b5b6b6be2c98c797b3f1dfd4abfd14fb4bcf" to "7c15855949911a55517cd32020d3f21d386ee949".
Changed file "net/minecraft/client/a/c.class" from "d9b3e689bbb46e8fe7d96d3591766b4778e993ab" to "2f8b60e2940f4cb84c0b1b83ee89873309c6402e".
Changed file "net/minecraft/client/a/d.class" from "24e7fa1eb28aa86bf17c694bd1d124cab88ed896" to "3b60f36c3da5960319c1463462004d3d9b59eb13".
Changed file "net/minecraft/client/b/e.class" from "fb15fb46c3787beb1838516e2e34b47d82a37399" to "d3789feb07e394c22b907eaf86362536f58b9016".
Changed file "net/minecraft/client/b/m.class" from "ddd884847a31fe677947c61335c322e778e96e21" to "cab4bcff6cf4ecd920f528a5a57c2579e87a819a".
Changed file "net/minecraft/client/c/a.class" from "06ee622d8db7559bf5621426850f643b4b3eb387" to "ed594fab2fb7c367c7b90916aeb160c876d0ed42".
Changed file "net/minecraft/client/c/b.class" from "54a1198157b53afbcc77fe8a4f1fff7c6dc05319" to "36f6d3bba5d2a4a6b44e67649274d1a8d1273ba2".
Changed file "net/minecraft/client/d.class" from "2e7ccc86aaafe39977d059eebd5dd4e26573438e" to "e2e7c137546a8690c37232df076513b5f2396e08".
Changed file "net/minecraft/client/f/a.class" from "ca48fb7a0ca8e23cf0afb41a3734d071d63d61a6" to "36e53e887b9ca3b2f4179980dde92d85fb581cbd".
Changed file "net/minecraft/client/f/b.class" from "82bbac6e95d06dadfff024c4bd98e12b0e4ad293" to "c5d135086d8979d11784d996ccd030c7a092f427".
Changed file "net/minecraft/client/f/c.class" from "23a38e978215e786232d566c3a1cca25fe38d8d3" to "2c90a2549faffd8b73158a7a69c9b05c7b358455".
Changed file "net/minecraft/client/f/d.class" from "ab4df7a5d599b0ea0a05d6fe3a88392e43679d77" to "08b6f94ceb2cf995f6fb25ab3c5dd8d965d7568d".
Changed file "net/minecraft/client/f/e.class" from "7d4e6647b7b46b454c4031691568325a0a888661" to "bcdee5a0305b716940fb9112e4fd02fcb2764e37".
Changed file "net/minecraft/client/f/f.class" from "736eedf8effd7a902f2461d7a6204f87401b0714" to "2a9ba7d6d5baaaaf1e527af82a2041471e704449".
Changed file "net/minecraft/client/f/g.class" from "0627ba4bd3d643262ea8a8de88bec2877bc5a5ea" to "c67d01f2322f5b54d3a4b2bb4b0a8b04faff6f56".
Added file "net/minecraft/client/f/h.class": "0952ca08af0f39875c6c5ce923dabf4df19fbd2c".
Added file "net/minecraft/client/f/i.class": "0493332391a64238ef51d1bfa465edd1f07b1aca".
Changed file "net/minecraft/client/k.class" from "2746c73d1333097fc7e6ccd7c368d32dc6c1c0c2" to "104d5229fa72c18ccad3ced19a01a1b2c8a0b1c4".
Changed file "particles.png" from "85234675910a6b88e1240f2b048366aa1a2da183" to "916185427659744d99345c56f36b04c37c334ace".
