Difference of "all_files" between "0.31_20100131-2244" and "0.31_20100201-0025".

Changed file "META-INF/MANIFEST.MF" from "fe354dbc544b02f31405ce7b95c150975d31eaff" to "db5ae10e51120db47be852f70e555e93227cebb1".
Changed file "META-INF/MOJANG_C.DSA" from "68f836163dc86845e9bc78097a5431a180e8a64c" to "dc0bdb5dce0bc9709deaf4881e6a62134029a82b".
Changed file "META-INF/MOJANG_C.SF" from "7a6a951f8e0464c445163e0576329f287b285db1" to "f88ae1d472b42d7dbb0745096e8cec6f48997c05".
Changed file "net/minecraft/a/a/a/c.class" from "5e694200573fc45fb4aabca808eba906d81c640e" to "7a7bef56c36640346413d8a2371ebcb8509054e2".
Changed file "net/minecraft/a/a/a/q.class" from "3c46448f77fc8a0be3b0f0d6755d02ccc48ff910" to "5e5f8c13f10c8879db4d32b5c5e93288fd357722".
Changed file "net/minecraft/a/b/a/b.class" from "38706e822bc973fc0ea697abb7cdae38cebc2f11" to "bc57259622d0a9ce21b74567a065c628538af492".
Changed file "net/minecraft/a/b/b/a.class" from "44e0a335790da94a92f6b60a282fd6fd49346b80" to "05d9a7fd425ed4b373f62c75450cb2bed08429c0".
Changed file "net/minecraft/a/b/d.class" from "9b61d0c1b19c4f0956c47cece5378d1f355771a5" to "ffaf889c44aa8e4078549085aa51f39edfe2e978".
Changed file "net/minecraft/a/c/a.class" from "ca9d561291ba40c81625189b0be13d627270abaf" to "fd9a28ed1691e140dc4f277838ede4bfe642185c".
Changed file "net/minecraft/a/c/a/c.class" from "d77745200ddb977caef5771e3b6a433eb2a25b15" to "50a8ae6487090a35d3f7a84bb7ce88b3e99a6899".
Changed file "net/minecraft/a/c/a/d.class" from "4e704bff1c8d1a56f99273e81af21d307d65d792" to "a8518fbd8a43a57dea1be52d944179f3d69f546e".
Changed file "net/minecraft/a/c/a/e.class" from "26e0c36449fcad57fa84ba8d7c67871ba2b23c2d" to "89190a73e25c7af9764b9ab0d81d932b7dfc8f14".
Changed file "net/minecraft/a/c/a/g.class" from "069f8031569c4132453f280b1b1f88f192d724b1" to "f5a92a4c96319fa1446d2a4c194168ec7324c1cf".
Changed file "net/minecraft/a/c/b.class" from "cd792f527e77415c3a06c4b987ac1b47298cd1b7" to "9165a6e98ba0bbeec6f03c9d74c2e3c3bf4231c9".
Changed file "net/minecraft/a/c/c.class" from "e9553af0d59b669551beab3053106d4468dd1631" to "5fcef33f8f53b22f3db0ea668ee6726cd8d23dc6".
Changed file "net/minecraft/a/c/d.class" from "e3f1db5ffceb38fada8e8ebe4c369baae5259f46" to "00dd22b1189afda80792e77b2215ca8a80ecf000".
Changed file "net/minecraft/a/c/e.class" from "99cf87ab6ce63ad5e5da1b5fdf09c8c4799aef19" to "8dacda977b2f47767c89c18336d20efe4054ca20".
Changed file "net/minecraft/a/c/f.class" from "beab933875270649b81ddaf8c4b07bf1b612dd79" to "3879bc3efcc56a184bb0948b854f06784143977b".
Changed file "net/minecraft/a/c/g.class" from "56575102764b9cd739318f8740f0559d951fb9b4" to "3405663ca752242c38766d09c1be40cd21944027".
Changed file "net/minecraft/a/c/h.class" from "c2ef4d04809376bf881cdb96e76afde897ba9504" to "1d801152aea01f3cd2b983d5dfd5ac7f4732e37c".
Changed file "net/minecraft/a/c/i.class" from "702d34ab48a303ca2b9c1ca09ad24ba9aacfcd53" to "6feda9403adf914513e229688316a70286ed1564".
Changed file "net/minecraft/a/c/j.class" from "88af0ce2ccdd8b67a02adb811783c4a7c2b1964c" to "ef6bd6be9a8647951ab6e4b21f5061662ab9c0de".
Changed file "net/minecraft/a/c/k.class" from "8c8e567f0b0a03ace2734928dc3e676c6c207a81" to "c25cb9716e58031d7e2c6eaccaccee0cfb1278d6".
Changed file "net/minecraft/a/c/l.class" from "a800ce3482360b00a79eff53fe26bd140d0561e4" to "911f032c6bfc020147d76f8440544085eb3864a0".
Changed file "net/minecraft/client/b/a/h.class" from "f54be5e5209ab563431a0d84b050d5c036591d61" to "f4d480643b655702db91a04517bc44c118726a8f".
Changed file "net/minecraft/client/b/g.class" from "7b5fa9ee181fafd277e4dc02957a92ca4c621962" to "6f690402a14b10aaf7c6a3fad36b181af4a3dabb".
Changed file "net/minecraft/client/b/m.class" from "554f0b4e87b117d6aa472257000d86ff3b7c3ab3" to "3232c46096ece3fbad5deb0fd35386654bc6bd7a".
Changed file "net/minecraft/client/d.class" from "0901fc543234d176d14b4771482e18e4aa5237d7" to "9ce0fb5cee9a64444183c20446fd0d626849d77d".
Changed file "net/minecraft/client/d/c.class" from "79a0642f3d85671de44d2b00d840808ec0d1aef9" to "654f6e27bc577ad47c729f16261651a405f524e2".
Changed file "net/minecraft/client/g/d.class" from "539f10b503e83eb6609fe51e981dcae8b243491c" to "32533f317d708cc72c994c362f29fd3e554fd8e3".
Changed file "net/minecraft/client/l.class" from "fb1ba56806a86c6645806c2c0b581bcef2bfa985" to "0747976c8078bbfb2782e6c96b8a1f809e64fc8c".
Changed file "net/minecraft/client/r.class" from "847baac2e50312002192adb033c43ea6d53d6554" to "298fc3c088cffa4d402caf39fb589815e4622a9f".
