Difference of "all_files" between "in-20100212-1210" and "in-20100212-1622".

Changed file "META-INF/MANIFEST.MF" from "036a6fd25a6d1a1af5d81fb9f53ae2bce4e45e99" to "4425eacfb2a8423465987c1ea7e701d6c2adec29".
Changed file "META-INF/MOJANG_C.DSA" from "3883f3a943dfa5e48cf897bae26e9db0318efe69" to "800add06afda881f03eb35b61db9a1cd6c14c37a".
Changed file "META-INF/MOJANG_C.SF" from "4ba2920bda53d374521248dd8d48c6c90f2ab46b" to "02bf0b42d6a5e9384a4c45fdabd3c568e6e7d798".
Changed file "net/minecraft/a/c/e/a.class" from "dc0f045c57ba7e6ea8179736b7a4ef83f4f7ac4e" to "b919aed50bce5c3352d0d682803d5f1df060cc43".
Changed file "net/minecraft/client/a/a/g.class" from "c4d15a96541d60cf50015164aa61a6f937c932a2" to "660576194709b089249db60ce705044b1f7fbdcb".
Changed file "net/minecraft/client/a/b.class" from "5d24d652f453f54245493eb402e5e60348678506" to "44c9433e6f5107fd43c4314e6d247b6eeca756c6".
Changed file "net/minecraft/client/b/c.class" from "524bd141dba79bfdd33992e62b9228d8b7e2a6b1" to "a122a8f4b5de71e157117bc95ef55df297d60c35".
Changed file "net/minecraft/client/b/g.class" from "39e8b9466978c01c9871e688f2407cfe349153a9" to "5e290d50f2fcebbd1ba97a360f459f0b4ac3d31a".
Changed file "net/minecraft/client/b/h.class" from "c7831208379bcec9465dc1a6c365f9c3482de297" to "f7c8c7c379ebfa681763e1a4634181baf065b7a3".
Changed file "net/minecraft/client/b/m.class" from "79523a00551e8fd8b396b4a48ff390004fac5252" to "8d19f2c9b565554b78bdd43d232a39be4abc2b42".
Changed file "net/minecraft/client/c/i.class" from "fe9364b8f74cf7b2e2f280c87de99664609cd71c" to "448b157ff1fbf98eeacbec4d4b92f1f64ead9c0e".
Changed file "net/minecraft/client/c/l.class" from "b25c9c16d81ecab619664c84d71a8cbeb2980953" to "20743b63c7f46853333815e6e361b4e73dd01ca0".
Changed file "net/minecraft/client/d.class" from "eac1e67ab34b5de8c9ab786e913ea9094537e166" to "bd5826c930089d132aa47fa66783b79c7eb27a00".
Changed file "net/minecraft/client/d/a.class" from "33606b6c9b27ed6f6537510f7eab7155597de9a0" to "c1554bced70627cdeb57bc2a45a703ba47e24311".
Changed file "net/minecraft/client/d/b.class" from "2458f732c220cf7ddac165cc922e6ec3adb3fc3a" to "b4d2eed5c5e47d0feace8197c94b5e42568c10da".
Changed file "net/minecraft/client/e/b.class" from "345e3f9365fad729990bf97e892fccedbe4eef41" to "ef38023b20dcba9972732d2016d23e6d9c832b49".
Changed file "net/minecraft/client/e/c.class" from "0a9f3b8aee5d0e8077e1640157a0558c5e1116b4" to "533bdbde6a97de9a9707de3eb9e6739c76fb36c9".
Changed file "net/minecraft/client/f.class" from "5852c668bdd364d72713f42b458220322736d9f4" to "17a4fdab1a83c96b34a33ffcb08ce6449cdabde6".
Changed file "net/minecraft/client/g/a.class" from "8051ae6ee1bb065f36ff4cb24db2163f14d16eee" to "73c40c116b1576a8f484848ae1615f8829aa6c17".
Changed file "net/minecraft/client/l.class" from "470a2181a71066370671bfc70f146be732a712c5" to "679352a436ec6b62a36e876858b82df868aec76c".
Changed file "net/minecraft/client/q.class" from "4f87fa16528e5f7e6b5bfc11ca80a926a98569cc" to "0348c11177a9e9513e92acc834fc4e1a1d448331".
Changed file "net/minecraft/client/r.class" from "1c1dad90f22be22eb10d37ee78b50e2d4dcdf9ad" to "fe7971fc598db494dfda9e06db9abc1f732bd87e".
