Difference of "all_files" between "inf-20100617-1205" and "inf-20100617-1531".

Changed file "META-INF/MANIFEST.MF" from "ef4805294bfb10b63a67a92a778d00ecf4921fa2" to "1bad6a00258cd3bb29930714f87b1e9abb0324d8".
Changed file "META-INF/MOJANG_C.DSA" from "04a36fc1ca5453a82f5a2792c1e0d37e02fb1bf0" to "5f7e04474ea4dea5184e79ad7a91cfb5b8dfe40f".
Changed file "META-INF/MOJANG_C.SF" from "7459ef0ce9c434d67343341a7ec111fb5175dc06" to "b54c386f9310d1ff55516ec2ebd920faab5aacbf".
Changed file "net/minecraft/a/a/b/g.class" from "45b18e44d0654d888ad0289d61ba7c84c1729473" to "ab69dca1fe0806e0ea2d334c3ea59d3386fd5c83".
Changed file "net/minecraft/a/a/b/l.class" from "e71efd599c24b61415862a64ca3f342e7575bddb" to "10c7a035c6aa38f63a2079d351c54631927f17cd".
Changed file "net/minecraft/a/a/b/p.class" from "7746de2fe5b474f1fd22dff85f2f7290f47dc6a0" to "35dec346dc076821d4030b6f165c3bec5a8f6361".
Changed file "net/minecraft/a/a/b/y.class" from "42f73c3140c4ab786992d0f96968e7351d02ca9f" to "70c608987ed36b3c3704382b0ad78ed88611ca00".
Changed file "net/minecraft/a/a/c.class" from "4a357ec1c2cd7601039b07db6c0ec62723861e08" to "2ab4323d44e3c51286cc26a85fa62344a7511706".
Changed file "net/minecraft/a/a/c/a.class" from "e46ceda14db9eaf7004a4d98745a8ac18e88f5bc" to "050cdf4ce9e626b1ffa85c31465db7c5f7efb586".
Changed file "net/minecraft/a/a/c/b/c.class" from "7850fc87b205e6ec59e55f17441bb7572063844c" to "6f35a7b31cc894c07a08171425b79ae28f6a276c".
Changed file "net/minecraft/a/a/c/b/d.class" from "92862bcc7261e03e23f5e53bd214ef87e5e7fa2f" to "ade2af21ae7e1f37ef95e10d5db53533f04f6643".
Changed file "net/minecraft/a/a/c/b/e.class" from "ae086bced9c29f43ffbe824cd4c08c1ee383fa79" to "1eaba7fcc66fe9ab13ad580e4ad100569fa41e9a".
Changed file "net/minecraft/a/a/g.class" from "2658190e9a9d5e65514e0a8b49ca7f3869f8b088" to "6ee187200f4edf5464b2196e96798d4a2cba4f5e".
Changed file "net/minecraft/a/b/b.class" from "95d9f892bee0c414ce9b34b6c41469bc3e95713f" to "605bebf1018b83aa420a7098c071329e8126ecb0".
Changed file "net/minecraft/a/c/b.class" from "6a0cbfe81d868dac6993d1fed2502ba33a86197e" to "abf4f37fb87ca1827106f72b952be89708394dd9".
Changed file "net/minecraft/a/c/f.class" from "ff05f040b876d0aba5b7a84d93dffed6e5f0e0c2" to "1b3f0584a42f6a2569c9ea71a97a35329036ad79".
Changed file "net/minecraft/client/a/e.class" from "c4bd5ab073913c455f96558265c66cab2bb575f8" to "026adb0db5be37241b2fa091b77405eabaa9f6a4".
Changed file "net/minecraft/client/a/f.class" from "33f07e1ee2bc4f98c66c647a565a8da71d890892" to "7e25048406828906a1002d60d0177e950fd0809f".
Changed file "net/minecraft/client/a/g.class" from "686421965d1161162bba887ea0343332fdc95bfc" to "b3e33b2c7537501348738065ee6581a81b09a4b8".
Changed file "net/minecraft/client/a/h.class" from "970a42583b69b369e43aa9f7e993b45577996daf" to "d22e1a9f901bd27bdba5499e2f9203fafda98f6f".
Changed file "net/minecraft/client/d.class" from "694d398e17c9312d93887a8d7df3a0cfda9e7db0" to "a7dac3dac12d9e24c28339d02de342d92ec689c5".
Changed file "terrain.png" from "7330f856c85511cbaf07faaa7640f21cb262cca6" to "3f76f0605565ea3f4766e83dd0b39cdbfe978594".
