Difference of "all_files" between "a1.0.0" and "a1.0.1_01".
Unable to create data files for 1 file between: "a1.0.1"

Total file: 426 (+7, -0)
Changed file "META-INF/MANIFEST.MF" from "1cd7efd217e8d6d8ddb2db851d2738515e8c5ef7" to "e68616a63254a749608670f0645d10ae043053e5".
Changed file "META-INF/MOJANG_C.DSA" from "6d4f1d00650d20d80afaac1c62c290fd4ef179bb" to "c15841dd4373ea970619f7f38792e6dc4665e3ef".
Changed file "META-INF/MOJANG_C.SF" from "7b6118da46c3fc9711691063a412b3bf39cd1a08" to "c311bb0bc36bb18702c8e6112343d6d507050790".
Changed file "a.class" from "667b8f1d65ec521a51e814aed5925e3e6d2cab8d" to "8b5d6bd321e598599466fc6f45c0277f69271b37".
Changed file "aa.class" from "0020bc8ccb5aaf3bb095884cce029325880ac296" to "766b2d5a05e80d159429a47c4e65e8aab90d6106".
Changed file "ab.class" from "19d833da57dd93edf275c5c4ef523b6a1b72b62c" to "419a5e78d9000a8ae03d6156fabfe4598db26262".
Changed file "ac.class" from "90bbcb9db38616368b010d74d28eb3802a286ace" to "24dc272572caf0b845d895702b14393f80f1f263".
Changed file "ad.class" from "99b29478c42c955a2c6d8e2e5a7212f7699a2329" to "02bde6897a26ae736dddd202cb779dfd63e7916f".
Changed file "ae.class" from "35956ed9583e0b8f62a25a0b8287db618a15202a" to "908af4be28cd7a9eda2fa04a80a983d624b9278b".
Changed file "af.class" from "2fc8fa3d8dcb3f41bdf0ba976e310cbe8552d6fa" to "dfa3f35bd73c789c06a1b3a2a25848fa474bc2a1".
Changed file "ag.class" from "98e966eb017874f206bd872e45397681fa07a5ae" to "a36572ce9960ec04d81bffacae09e7b0f3fdab10".
Changed file "ah.class" from "135981ba19da1de400fb88de237ba39f601829e2" to "ff338d95bf19029126401354c7bacc7e0fb9a36d".
Changed file "ai.class" from "f9d372ba445bb8b914ab9f0eba77d4e1a9ed1c2c" to "9c4e2fb975d9660a6b357942b17bba2ef0e5d368".
