Difference of "all_files" between "a1.0.5-2149" and "a1.0.5_01".

Total file: 462 (+3, -0)
Changed file "META-INF/MANIFEST.MF" from "6ad74fb8dc314bb532d036f0fa206392b7d05a8c" to "3c9f8e4dc331da5cf8ad0598d2959c43335ffc3c".
Changed file "META-INF/MOJANG_C.DSA" from "165f65dd3dd8f3c3f9fff789af2af9b0862115cd" to "5b761200802f8978bdc35e5d86812895a95b3a1a".
Changed file "META-INF/MOJANG_C.SF" from "38dd3da9b41c56ba55eb8cb1a84d699d11a92a38" to "8455942cd8e58a49886e13b66410a793ea03a6a5".
Changed file "a.class" from "d100283331ebc57559faa9ede2778878b7d3fb1d" to "e630f9512233bffa8400f8168bd44d33f49c6710".
Changed file "aa.class" from "c3c9917af1079a431832497bdc3a9817d3a0470c" to "2b75f95e8256d6e7cf21976b2c1a9a6721982235".
Changed file "ab.class" from "5f960012ea329025a0d33eae5a626febfc6b141d" to "490feb63961bdf414eac048c1cc746d7dc79734f".
Changed file "ac.class" from "dfa68cec781c2d26f1909066efe75a041d7b80a8" to "b0626e0eab266f105a3d0ec7ad8abd9530d385e6".
Changed file "ad.class" from "d3763305ecd02343063b5f3711a9e985dd122745" to "56547af060e5cac6e2cfaf005db052abc93da20d".
Changed file "ae.class" from "2925c867b6f0185604172c79bc0ce1c7234f73f7" to "5ba410360d8b4c20cb6c86d70146cb173f2199d7".
Changed file "ag.class" from "ffc198af51d68daa5215ae4b674e10bdbd82888f" to "df692ff2bacf0135069d49084990560e8a822d40".
Changed file "ah.class" from "43a5f747c2b88f38440087d58095b19fc535789d" to "92b6d0024aaf38fd039751d19c2000f81c29df52".
Changed file "ai.class" from "ffb7d66379fda7609cfe3bee58490fb37492ba42" to "4ee3c72e91ddab8ebce6b53fe6b8b1059ca4a2f4".
Changed file "aj.class" from "4cdaa4a67655d42605b09046d1ce4b6b6d15fd4d" to "9babaa7d2a88fb4313458b4fa3bd9b18b89db439".
Changed file "ak.class" from "23368b8ed45273789c98a11fb90d51ff06eacae0" to "465a473aafbe891dfaebbf0635338657a0c453cd".
Changed file "al.class" from "eb559cfd200a2d730d600de565a59af77904f090" to "b735503c9697bcce6582e1b8b4e8b7d8ac6f3599".
Changed file "am.class" from "753a7f645bce227ceaeca54ca9dc6ba7776549a2" to "d3237ac7dadc37df7c48d7906d1ab658df1dedea".
Changed file "an.class" from "b437bcbae5629bad137f7d80230a658ff7ed362a" to "9e8a794bc302a057b029e8d64ed5925fcaa80db6".
Changed file "ao.class" from "786f6ea38a2f9cd2480d5d26eaf076fb85c06026" to "ec8a6982152ed21ec40c8f9ab0ef1830272ddc7a".
Changed file "ap.class" from "c49439d5d71f276fb4ee3802fbcc9b87fafc3096" to "e1cd024941859e65cb431182a01886a2ec98f448".
Changed file "aq.class" from "8bb27cc5d9a26843109740120edc644d38e08d13" to "6c518062815e9523ad56bfe1dbbc9c5947d44910".
Changed file "ar.class" from "88c91dc32893aec7ff982789e8759e162c9f98b1" to "c179ce35bfd723ceb54e6fbf20953d9795d2fcf5".
Changed file "as.class" from "317e5312fcc63602a74500bedd6ce91c08506e1e" to "6691553aa10e3ff39278141d5e87e6cfa138cf8d".
Changed file "at.class" from "91ab26347e8e9d876d824e6e7314fbc8c15e7ad0" to "186a924092294f2b2e72a3afc3e32b0eab742b50".
Changed file "au.class" from "c4e2ce8dd6e2bad40aa563abdd6681261c819eff" to "124031ebae0d0520c0999dac18641ef16ce6478f".
Changed file "av.class" from "03c086e8dca163f232c785ace102cde6641de2ff" to "70206666f3b2a8798b50ee92057f7a1eb3a26634".
Changed file "aw.class" from "7bd3b1f05d662777fa57e86e794ae60a64190b85" to "b05f78574dbedc25710bd15e71b6564023fb205a".
Changed file "ax.class" from "3f6dbbe9817d1ece453cdd9769dfa2152b18398e" to "7fe9dc18f5532bd1b6206137a2d5cd5659a6dfc0".
Changed file "az.class" from "400270a103b1cf8530a027b1aec38b9d20afca50" to "da9845ac778f09d126482fdec3c11c56a5238b15".
Changed file "b.class" from "126f9607fd8ccf58282db4a02a9b094eeca93b8b" to "711897300ba283dfabe34b0ded8a06054b418b04".
Changed file "bb.class" from "63c304fe6d95867805e86bfc70be29ae37888fe4" to "204c54f133a02e5ffb742a511abf92a505bf3efa".
Changed file "bc.class" from "18289883d9823d39bf4eb080454b150732879ce3" to "c910907b04f02bd3db61aa8d1e368c34b8b5792f".
Changed file "bd.class" from "355b2a4a761bd7beae64c3932bc3d7ea6ceed394" to "7384125248b8b4405e5201bf08447a7971a56a8b".
Changed file "be.class" from "1c5580dbdaa869c9196c3d66e266b5b2176babe3" to "fe9fc8d69fa38ed5cfa206e808c30110708e604a".
Changed file "bg.class" from "8d915f74e3c0da173dd8e99c7c74bd0a0119210a" to "cad358611f155838f59630ca5ccc2039285e686c".
Changed file "bh.class" from "715cc79a17f15347a53bf8b75ac74beb8368b698" to "1c890707117104a9c5d188a1ee628a1d5f0895f6".
Changed file "bi.class" from "f892237ebcd48e6f55eec318ad00e5322ba246c7" to "0df3b489ab6d4a65c5567c6348389126ced135de".
Changed file "bj.class" from "d1688920d6726f90cb819e78c569566b0ee37c0c" to "0f60fd9305a36096ba24edb90b2d812fd10e928e".
Changed file "bk.class" from "97d10c9d9722c5caad977fb997cabd8fcfa9bebe" to "a56cd6576ad1846ff556fa160d54564bec22e68d".
Changed file "bl.class" from "fb30e8e441ff6dd2294e5884521e7daad2ec3549" to "ffc20ca90bc5dfb50b08923dd9bb19234b2c0efb".
Changed file "bm.class" from "bb8af59ddb0d274b0bb5b22e264578f27d247c47" to "c1d5d85b2861de220e1778517c246c1f9e6346ff".
