Difference of "all_files" between "a1.0.17_04" and "a1.1.0-101847".
Unable to create data files for 1 file between: "a1.1.0-101840"

Total file: 537 (+3, -0)
Changed file "META-INF/MANIFEST.MF" from "872aa29fc1b8b094a89f9fa0d57ba4a94a6e5685" to "4621718c67cc55efd51d39f477dbf0c700b258a1".
Changed file "META-INF/MOJANG_C.DSA" from "9fa74e3bd4a7c75a4ab4276e639cb520cec957ec" to "2042ee73590ba25958770941932628e6da35dd0a".
Changed file "META-INF/MOJANG_C.SF" from "dd70506b9167a9839d9b185066fa7de7d5341cb4" to "01d719acac34aab629519c634054f351e7a9ddd0".
Changed file "a.class" from "4889d7bce2fb879e59edc2ffcdcd80a760e0cb55" to "7e5c5ab39144ec377535f887c8f0b8381d8d4e09".
Changed file "aa.class" from "c057f1f1c92ac497eda6787411703cd28ac19582" to "fcbae4931cebc41270131b68c4c9b0b59492b707".
Changed file "ab.class" from "2819f55fbdf8837db70e5466756c46ceb3829a94" to "c7f159a32b4e4b4250b8d43cc594388dd281b491".
Changed file "ac.class" from "a85a6685e8308b19c082e29ecb07668e1b76403f" to "9491bcf40866c0b8a2f1cbfc4d283ba657b93b61".
Changed file "ad.class" from "609acdfe212f69f0fc9162cca80f138b659c4fe7" to "3cd7d5791a58c94ead3f32a852c7a0f80bdd8a5e".
Changed file "ae.class" from "9fc7ced1d8765f56d3d6f36a239df726a863d7ea" to "c2fb16f7b7908bb1fac0712de2a5abe5294963bc".
Changed file "af.class" from "9771778582eadaf918f1e28a42ff4e4fee680779" to "2b8ec9f9b0a51f7a9dca984e874e337f25d7528b".
Changed file "ag.class" from "f3ac4525b7c59a41e5b5095ff886d065d53c6061" to "ca061272c4cc86623288c68c994ad7c60fc1a3c6".
Changed file "ah.class" from "610d272c442486bec8fff71b17215e77ef1a3d8f" to "06382c22c5fdbea58a3eb54c0380def6a498bb1e".
Changed file "ai.class" from "6d000d6291311b56e85083689439455a04722856" to "7b32db051e89645a58d3e947ee8b275a2558498d".
Changed file "aj.class" from "c26e0cbae18e4e958e9fdb0e60a3fbafe7b83503" to "5fc2dded744a83ef976daf3e728e47a2a0cba6fb".
