Difference of "all_files" between "a1.2.3_01-0958" and "a1.2.3_02".

Changed file "META-INF/MANIFEST.MF" from "da14272263de39b9b20957419aa68f621f2821a6" to "dd3c764f671de217977cfaa25a6466bf7166e72e".
Changed file "META-INF/MOJANG_C.DSA" from "906be8092004f473f0d366514bc1c7f91e34ed7a" to "a0542cb39b7544788ea6b2416a4ec0500f890f5c".
Changed file "META-INF/MOJANG_C.SF" from "91010e1209d4279b7c964d8915aa9d01b70ce050" to "8164f4f11a926332740808acc27f6dea49b7b35e".
Changed file "av.class" from "8ec6a355c6a6fc328c5cebf0e2fe1a3b714e10ab" to "9f6d298a0f7e4f586bf10cfd5baa931d698d208b".
Changed file "cx.class" from "0eb26704f910dd3b485a1b598480278be7b82184" to "5b687937044e3e2cbe1ff33127cb3266b6633ec6".
Changed file "di.class" from "9af366af99621ce613b50a3585d341e2f8d53131" to "1f22938ea7ff58ce6fbe284bf3940834f8d93785".
Changed file "gh.class" from "4d510a6ef28a40849f00b903fb9df198ca2b1b83" to "25a2af70ab31af14ecf5f7dcc3d1270afac597f1".
Changed file "gi.class" from "fb1b08b37a6ccf2a22798b0feaefc2691189c40b" to "6968dccd5702a15dfe3c5f2a6856a598ccdb9d7e".
Changed file "gm.class" from "ff10f3279d34a0311b9e77a668e006d121cdf3af" to "8537a61d6393abbd00c95111581cfe081bfae29a".
Changed file "gn.class" from "021408862c1d9023068e6d66e1adaa3e8c610239" to "4f3cca88536e633ec05934d0e560a177a895f947".
Changed file "ia.class" from "ca8d88d24676cde9be91db699106858d75ae5a12" to "7b83b4bb642d7b71b3daa8230d9b6740e8bc8d76".
Changed file "net/minecraft/client/Minecraft.class" from "e51d797378af8fc2b5e4601ed55af30c719378ec" to "502438828973f7e8ad5f884efb7b1c0484aaef49".
Changed file "nj.class" from "56a91b1c26e853d4eb8025208c7ffdd3ae811ed0" to "8bc885d2789be4b897802caaf4641245689c909f".
Changed file "title/splashes.txt" from "2eed5654d09288dfa4a568a4877bbf79f45d1465" to "877add8ff0fd053c5d5aebc3e3985c392b70ceaf".
