Difference of "all_files" between "a1.2.3_04" and "a1.2.4_01".
Unable to create data files for 1 file between: "a1.2.4"

Total file: 593 (+1, -0)
Changed file "META-INF/MANIFEST.MF" from "ee9dc76205a3f7410894dfd51bcb0bb55fcdd140" to "734ae05da48025260e10d064532e3ab76a271ee2".
Changed file "META-INF/MOJANG_C.DSA" from "6edf38d1ceceb5015ecaa61b0d89c1dbd0e59bf6" to "3f7ded3cbd454e6d87d3e746aa14e8c6fa7fc2d9".
Changed file "META-INF/MOJANG_C.SF" from "d0ddb147c60753c6e67eb9bd0ad910d2f57071a3" to "10f5b7ea36c83649b23ccfa3716e8d8c24a0cb6d".
Changed file "a.class" from "3ea21332c2bae16c91d8ea25852138007b53635c" to "eab51bd2933eda62f206dd8cb1254d7966150ec9".
Changed file "ac.class" from "1b14d2e4dcc441248ba7c5ae38d750fd5df2e380" to "6b52461a6b00b54b1a35c38ce47c294a02897a04".
Changed file "ae.class" from "841f8f914998fe80db3fdf7bfe21f55bbdfc1a55" to "3f821561e497b45d872722a6b590fd9ba2b7f196".
Changed file "af.class" from "aa0336a804ea02afb3ab9d688f5037986e8a8b46" to "1e92a2c71f8a4a89576011f8da649334a60f3fe9".
Changed file "ag.class" from "095cf65d2ad6459c5e594d84dfe86eac9a0845ec" to "e3aa18f9e9c7cd26f3f5a9ee25827986330b38ae".
Changed file "ah.class" from "70cfd19945f26177f0f9a0da65545f776dd3ab2c" to "35ac991352331fa0a6003ae815f8fba83d5c5f27".
Changed file "aj.class" from "d4257a12c0d9b200fa8fd3b98c2d501e1c0980cf" to "692e22f33455e97266e9d29a5f655bc40a13b737".
Changed file "ak.class" from "89aa1a58dab1f5226d852e570d4e5989ba652b2e" to "c0fe7abedbcb1c25f1d18901475d51f955b83cb5".
Changed file "am.class" from "32849b5df75b2ea3f6d47833a2b37f40c591a467" to "01b6c115efb50936e8037d1b6ed1deff940ce8e1".
Changed file "an.class" from "c16e9607feb2315e8c947920102deda1948bfbab" to "098786d0ef09cc0cb6cf2ba12919eefe3530bbaa".
Changed file "ap.class" from "fe09ee6f3c893d08cb3627cfd1ac628f488cb811" to "34fccc97d0a4440c3978c9ee5d20a42b8ae7a07d".
Changed file "aq.class" from "6b9788e1689c375d0899908e0de220f48020ed54" to "21f2d2a9ca71c7be4eaf271c6fb69a7bf30f0c5a".
Changed file "ar.class" from "69a960f55a8eaf63b650b83184a3fe35c55cadc8" to "6f368000ce2b84cb6980078b20a4df75ab1c4b2b".
Changed file "at.class" from "9f2d31340d0189cc6e4e88081d30a7ffd366ea44" to "832cae1bf61af69f58b0b5f904456877161245d3".
Changed file "au.class" from "bd39a36b45d04c76e5ce27c57508efda11ef9b25" to "550edc80f36ee318a4bff5987b9166d6d5fa9f34".
Changed file "av.class" from "1ae52d4a1f0e9940b2cfdc324445d9a6a55e5aca" to "ff5fe798d051efe2c4f403663317e3669864ee33".
Changed file "ay.class" from "6eb64b2f2885d30ed2041214795ddc9d6eca3ae8" to "e13c542173d2c70f8e4b4dd39206c114dc448398".
Changed file "az.class" from "0dcbce0039cecaaad9dc0321a29a794895830cbd" to "73b141a55e9799593ec081290b89d2387de15631".
Changed file "ba.class" from "1cade3c5465fb99e801c0c676e9ab19f2b908de2" to "9f02aaa0c2d793a7948aab7f03b79bcd03a5e048".
Changed file "bb.class" from "0393e6000c75ed4c30c71f6545b5f542ce7e52cb" to "3d895a87571aa64bf64fead205a5616efa707d90".
Changed file "bc.class" from "be1a5082caab9e5fc51f2b3b49227f7eacf735ee" to "5cceff5035ce2cfebde28d5f57bf43cf3905da60".
Changed file "bd.class" from "889c7a5b8c181631aeb4e329608844f86f05de2f" to "019a8e95ab09b0206e21a8ed93c93e23e8e2d63e".
Changed file "be.class" from "72d1f5008a8232ff89c8ea8359d0578d05cf2bed" to "72f0ad489c44611607db29227bb377136db76238".
Changed file "bf.class" from "02b5d21f3ad05d6a18be20d1e092f97616492114" to "6e416e487da2ea73ff1777483a4eb271f197f950".
Changed file "bg.class" from "75b808325198c41a60ab7060199387dcb1502a3c" to "97efaefab2b23d5f43e766edb97355a7d337d4e4".
Changed file "bh.class" from "fe2fb3fd840950200e83c9911f144aad0e52ba33" to "771a7b585a6ee991f5e3e2c5ccf00f4c3f50d94f".
Changed file "bi.class" from "b645d90d96e97f43c1dabf21e87c39b7f5f93a6d" to "b25440cd3d6ac8f51ceb2be68596a728aed20ddb".
Changed file "bj.class" from "bf709c64a6645af89629da629f611383078cd07e" to "470f6644821d5be22e6210739d6f2a35209d27c4".
Changed file "bk.class" from "6a47d652b6febc8e28de854dc1ee26a1b422d54c" to "c6c3b0c7e160810ecf95b7e1845de7b65fd27e45".
Changed file "bl.class" from "7168f1b21b0b177b0301fd8f82acdd156bfcd946" to "e664b3beecb3d6140b8153612cd5b09487209597".
Changed file "bo.class" from "988c55488e0b0befd3e761e9a88ad9abedf4d17b" to "992174e28bedf4c1f5e25e9349f4d032c6ea1e42".
Changed file "bp.class" from "b0cdcab3333f87bd671965210deac4d1022336d3" to "4555a2873126ceeb374cb91c48287de2646821d4".
Changed file "bq.class" from "ebd6842953b10df6e3ccc1c25ca9ca3a1b1e4213" to "0042671ac82286b188c06ec7e8466c4cfcc21657".
Changed file "br.class" from "5bedaedb5a5a11815cfcbd768316d9133ac0454f" to "c65a5092fc26b6a63108211b458dcb31028ec820".
Changed file "bt.class" from "c200030d6dae7df53081625a2b71fe78c2a32367" to "465153e9d222681098757f9b84ebe26aee438360".
Changed file "bu.class" from "cc000ae9ce33cb3bf46893b6bf528b449d6f2751" to "e3f4bac754a0242c07871684de02a8965decf1c9".
Changed file "bv.class" from "7988397354ba7c3b9d696f774d55f6c35fdd28f6" to "3aef91552880cb46c5c0bad7f0e6afe12110d29d".
Changed file "bw.class" from "046c3f036679e7e87cfa213a0cbc6d88de20d59a" to "7313b50775c50d2e8f57ed72fd1efe042ce864ff".
Changed file "bx.class" from "70ec73851af6700dc6a9be59f999eb9c30430750" to "d0f3c70a11156304a7fc61275142120279cd8d7c".
Changed file "by.class" from "ab982604cd78bbb2f3f7531f4e1ac082b4723da7" to "91da8651ca45d6ef40639f21db29943883e21639".
Changed file "bz.class" from "98f94fca18b91f660b6e2ecf9ff0490671b60a6f" to "75450999a7599f45996eb35e9b85350d1347f13d".
Changed file "c.class" from "4e1f128ebcec082ba940ec5045dcee9480c78779" to "9adf6f0ea94d918655a41d8503f84a934f00dc2f".
Changed file "ca.class" from "9c5ac45c1b4b621c12efb1c654e1eb50625df1fb" to "4595ab5da021445c5e0ddd44e2cafd3a74009a20".
Changed file "cc.class" from "7013ea380aadd26044bb8c0a85ae2a2248e2b9b7" to "1a09f00e3be7539263250dcd5ed62000141b7e32".
Changed file "ce.class" from "df93084a0d9fd3dffc566ff3ed1a893836daa3e0" to "779013ba062cedffecd8bad4f99f94b7af7bb97b".
Changed file "ch.class" from "07dacf611c425b5e98ed238616f1d1d7c165e663" to "0fb4354d1fe5b490f4b07b159c688d5de17160a4".
Changed file "ck.class" from "ead75b61de6a42d8962a2032c1b1663e5f9da0ec" to "ca062348d1bcb2e96ecfb52e1dfa237a9ed019af".
Changed file "cl.class" from "9ca1c79d38671492f767ea309c28a8b915a799b9" to "bae32163a9dfe652f979ff88c17c16792881a98d".
Changed file "cm.class" from "1d494443b9dfef093fc6400c9210c97311fd09b4" to "4d47e02f750d04bc44c3f093f7a7b7cbafb36df7".
Changed file "cn.class" from "c6de3e123e46ef1507bb9f126b3d0407ed90ade1" to "7a556b92ebc7e0205c1ea9c69f6b569c71e3e75b".
Changed file "co.class" from "ee95938ba77c785dca9c6702e04eeaabf1e4c778" to "55bd33fc979ef98b1aff8625a7e79b57fc3a2eb5".
Changed file "cp.class" from "747e4ba3d5b423ceb4b216c3ca2614e8a681c7b6" to "c118449c0833cd0db192a404364696aa26a8f2ac".
Changed file "cr.class" from "cc237f5cd04fd0939b2c085a0e5e95dfcbb93959" to "d8d2bafdc3b7f74d565483d85f18b9508e2a1d67".
Changed file "cs.class" from "79e74cd83ee9d70b550588ecec68de78d28ac728" to "5207413c165170488f746f631930481f3cdd7187".
Changed file "ct.class" from "2437089306cfa10d4922b591b9780f7d2fcd5146" to "013af1314013f947afa0e468dadfde24a8125091".
Changed file "cv.class" from "8813e5f4698eb79d9afe1da555e2d2152e79d4e5" to "021080165c29f2eee74a749ffa9d0ab81be69193".
Changed file "cw.class" from "b1ec5a79573eb7119a94bde26c2273f5718b0f70" to "eb94621b2bf6ea46d70c31cafa29191f0b0225f7".
Changed file "cx.class" from "f950b885a0dc0797903172a5393ad2d94eae49f9" to "f8e20683b7b71e613a207525e3c49afb6103c355".
Changed file "cz.class" from "0f59de71de50abee1b243890ff2b5dcd1374b0ce" to "44f3e7e139a9af38095a7e0cc556634a14d0bc75".
Changed file "da.class" from "7eb62cb5488f8b39f7521d7616fe4c3d71f08687" to "d18102b7fe64c181a814824a5cf522b65e4467a2".
Changed file "dc.class" from "36992819f40d4f3d595d3ea65e08d4607d0f55bd" to "8be90505f10e4e89d90aa911e7c7522a35434e7b".
Changed file "de.class" from "5c3038a588523b36588523c497dae27427f7fec8" to "e3cbdabfde9ee0ebfd6e32344f5e39fbaaff25a3".
Changed file "df.class" from "9770b3b9b676deaa8a911ece6ac5e8c52d523d9a" to "ebcc05d703c5e03bed0e98ea1a8082ac42452025".
Changed file "dg.class" from "15aff758698f116afa0a19a2e5dc6320038a85bc" to "1518887b83c63cf665b26889ba70c8eb5d7a0f4f".
Changed file "di.class" from "a568e9d4e601b6e2426b981b4d4e067f14f6c290" to "d095c72b6b8e3626c302113d4c1dc5fc56774282".
Changed file "dj.class" from "a63902d7c840432c03c7aa3349c3379179fd4d8a" to "5308ac9769816fe17268d7d11b9526d26f37bd22".
Changed file "dl.class" from "b3a625ca82de806138d50b58893b0e548cb90748" to "2c175265f21ec072f6b75862bfdd3a9853ad4b87".
Changed file "dm.class" from "fdec5e31c64c0f294c6937309779f20847abe979" to "2930c5901f04607cd92b9a55a7927662fd8e0e87".
Changed file "do.class" from "27041664cecb50652152a53f8e87e03a3023d902" to "43080e149b2accd71957d9e1b72030a9625ddd92".
Changed file "dp.class" from "bf813bb14dbbc20bf5d96977486b8dabadcf22eb" to "51d702823462f5197d44a91d899ee291d9baec81".
Changed file "dq.class" from "27c5bb23de71888f23dbcdac8df90e5c3d1471f5" to "efc9507e793b7faada23866dee823e118d02db6c".
Changed file "ds.class" from "b5b717905edb55a0bc01eb11e5141c7a17145e87" to "de982c060493b3f1040a86421093c41b23f3d21b".
Changed file "dt.class" from "8b8d8680c444926ab59e52431afb897b5164fb9f" to "f651f52b7101960f82f3f50ca58c7f9afc885ed7".
Changed file "du.class" from "809142c0f22c92dff0aeebf7e2fecca347755897" to "8c3fa54b66c75abcbe2d2d4b1e8cb2575d2fd2ea".
Changed file "dv.class" from "e54765628938762cfbc1e87cc2d231c7a820b2ee" to "ea1b305c3a688e21a4d592318a9e033496726f7f".
Changed file "dw.class" from "9274b34f17ff6ea4185fc876ec598a07da8ee35d" to "a22fc2578a5c1d80983908896ec2480d48416378".
Changed file "dx.class" from "405c6ec6fbf1343b045af763ad14c0b61ab03920" to "9f237b42e91f61581f2db031d466d1d2419bc990".
Changed file "dz.class" from "46b453095d1d2d906b1f48adbe9a5cf3a5033037" to "424fc5da16c3796f061ff0100bec966257127eb4".
Changed file "e.class" from "70654192d3e99742f966a553d0c3f99b34de55f7" to "0ba787d7df37e6e9b8d356944dfe16c0bdce431c".
Changed file "ea.class" from "492bd0f0bc5af627f099dab0a590bc4db742b570" to "b98519157ca84420146b6b9b16818b0f0f4c79bc".
Changed file "eb.class" from "cf094d9c68d2e370c511f82d3a51941017f9665e" to "21f5ebf8bf9cc14900fb1a157f6dc9d8fbdcdd69".
Changed file "ec.class" from "8255d02eb3a7099e2ec766be4397c3e577995fd3" to "bdc22b8cad2569bd3935ad3fe49ebdbf7baea403".
Changed file "ed.class" from "a2244ff5eff06be0e1d5a116fb35d6669bf1ae89" to "06a7d4561ab72745b642da654d8c86c1c82f17da".
Changed file "ee.class" from "45e31a67ddb054107a513c6de62fab105a5e0004" to "1641925015738c8f9e459b69285eb08e3d803516".
Changed file "ef.class" from "c45fa06b479e85fe45f1e8f680d870f4cd6da065" to "64354ae2d61b16ba577fae9013813927853bd5f1".
