Difference of "all_files" between "b1.0.2" and "b1.1-1245".

Total file: 611 (+1, -0)
Changed file "META-INF/MANIFEST.MF" from "cb8d8c97a326d96e17ca21e2c29f63d538b0f9b6" to "a84fc5cc46e44ac2b3c90290a941dd0befcf3755".
Changed file "META-INF/MOJANG_C.DSA" from "c5d481d3f59185d5f833b7c33f69e0a04f2829b9" to "c3507bf4fc47771dd3d82f72541e7c104f14af36".
Changed file "META-INF/MOJANG_C.SF" from "bcd668fcf191925279f075a4ea2e7c5695f42571" to "6b372ae3d1ae155c20db9c887b967452e994d361".
Changed file "a.class" from "5d7974d4ec18ba013acbc6502503a8a5fdb37186" to "203d75daf175d0f7929bc1c2183260ff5833aaf4".
Changed file "ab.class" from "11085608cb0697336411f00165ebcbb87be3db10" to "3a85a8c5c65dd1ed9409e6d0d122aec433bd7ba1".
Changed file "ac.class" from "45cc61e6cf53268f1340cf7d4526721f40bc5742" to "2a9d158c8a930b96de429bd85787386a6a0b9e15".
Changed file "ad.class" from "99bd2bd1aab8096a6311723597f1ac962936cac3" to "9e8de6107d8bc477fbe90199def376006556b992".
Changed file "ae.class" from "47da66f177dd29f6f10abfd7bdd0620ed153a544" to "11c28623ea89db5c9d2932261806e52a45b2d2ac".
Changed file "af.class" from "174753d16e3c50a62fa5e453535f29bca20fd28f" to "4a3b749aa60e065922fa71a4b15852a999824a96".
Changed file "ag.class" from "45301db5dbbea23277bcb86dbbe8c632274f32e6" to "0dd9f1fdb3c5c7968507a03040211570a6c86284".
Changed file "ah.class" from "240d83ee8f9bd6d83a6288c7709e2783b50ea2f4" to "b6d08119d0c0d02e00cbb6443ec53d05be637dc2".
Changed file "ai.class" from "4b869f1494925d92b3bc0c6d4b33b3122ae43154" to "02b1ddb90c8b3b8f483d7efb4fc72a11f2801fd9".
Changed file "aj.class" from "351895a6dfd56dcb2ee863be0208547d5410d133" to "d13c8e2b9aa84c96cd2beeb7c61df73f8fc26fd9".
Changed file "ak.class" from "301241537696d5b357025623af0532087909ecfc" to "5c8eed029ba232e304d6d9f602a468cc388ed4ed".
Changed file "al.class" from "040a9f1d2b678eb0e9737bbfb1b45cd4fc6ca480" to "27d4b6439fc950879612ffc60a0204be0a68ba84".
Changed file "an.class" from "42027d41029dc558156a6df29198860b72c4c7bc" to "c0150667643b5cdc0982a5e07eaea878291cc519".
Changed file "ao.class" from "f5553c4288129695174facb29a4cc5d3f9dc9abb" to "0be0c33aea7902e48784b4150e5115d7a7c78bca".
Changed file "ap.class" from "70f0425e694261e1880ad91077a6de167e1bad71" to "424e05c877a813707310bda82bf47ac702e0c7da".
Changed file "aq.class" from "5722bd06b7436b3cd94d6511b6b2659d0e9133e6" to "4be6740349ecb57a8da4b5227baccb555d56aa60".
Changed file "ar.class" from "17407283baf1f1626d805b5f1122d0fcc662aa0b" to "c208e680b001ebe402f117588a712add11b8a6eb".
Changed file "as.class" from "9ab8ad509557548240737dd6aba30f41f7d88a29" to "ce7b378ba27cb128645b0a2eea7a43c141048a90".
Changed file "at.class" from "4b4cb7c79c177978a55628903176616ef7960510" to "4a0d6a8063b3965167051e0a73f93782ff9bce62".
Changed file "au.class" from "2151a80b19061f0dc60b2c74432f83c7159a6800" to "d18c1e30c7b57c69db88367aad5c971c2b26f28b".
Changed file "av.class" from "9ff5fe788162c0b11725706a94fac0db36a7e9d3" to "5b75781c274708d549d87998664bee3cc934f4f5".
Changed file "aw.class" from "305365a11384f6972613c3c5b6f278a1b3bcda4b" to "4d25218d6f7e36b4f33da0e58191f11ea08151fa".
Changed file "ax.class" from "b7496d68bfe52098731a9857f292eda619bed638" to "9821c48334bff97a46a0208fb56e146d08acafb5".
Changed file "az.class" from "a1767588689d4ae5b94fecef505025ca081126c1" to "6019010361dc64a74c274e4388749628a3f0caf1".
Changed file "b.class" from "b2de06804fa717c6002b94e9656d2c84289958e9" to "3a257b6f566a101ba5e7c79cb9fa3d1da26d4d6c".
Changed file "ba.class" from "9b0329788adb23e648ac9a7c6b4f27ff8883c6ae" to "f69850e30bf386a7e57cf9091f024dcceed0956e".
Changed file "bb.class" from "1fecf92f97814ba6a6cfbddb81dda869cf3c6d00" to "4419f67f8934d435ba371a9a4844bb33071cfa01".
Changed file "bc.class" from "1401ebf61aa7c6a89508a099c53c8460b6046efd" to "42332ff8f27b1f2ca9d5d70b98dbfa718674c764".
Changed file "bd.class" from "cc9488fbfa4f255d50a3fafdbaa68257cc07fa0a" to "419b3585dda3ece1600964ca46b0ae6a55bd1263".
Changed file "be.class" from "213a02de8d68fe58f5b36147a0efbd2966de46d2" to "620ef0a582166735a565f18e28f6ce8ef8e6430a".
Changed file "bf.class" from "26ab967c13cc59231b8af868d2adf458ab2b0a79" to "b6709231359685fe2d733f85a3198725cb3c70b5".
Changed file "bg.class" from "c4d3012030efe97031c9242a976dd7fe8e5d9c13" to "feafee512752a2f2d054414db9318d673cf0d46c".
Changed file "bh.class" from "215e44be9de5b19585bf44c449cdcc35f58a1c6c" to "27dea13a10250e522219c09543b498768ffa45fa".
Changed file "bi.class" from "1599097dea0545ee29d2f9c3d4f1f90b7c4cf4f2" to "1fd0dcd83b33c1615c3fc2fd9427b8bde4f22693".
Changed file "bj.class" from "f50fe67c429b6708aba8365e10d0d60a0ee9d96f" to "d3de9b8166328c0ebc0b5a795f2d53c7bea88a28".
Changed file "bk.class" from "9ad5b83850ed11b498dfd7aad43ea90f2c04652d" to "00d593a7654e26618e4331c7141e886ac1e747cc".
Changed file "bl.class" from "52ccd13ad4baf269a84ad3be3c97a856b823c28b" to "9f236ec574ec5ed7f5e0c7f7ea88ba807cb2036c".
Changed file "bm.class" from "9bae3f60600ced3e7eccfc758efdbc62cdf04ab6" to "da2aebadb4659535ecc47c3409577b8ea255d217".
Changed file "bn.class" from "663dc412b57e689453378b1e20a35b443964ad3c" to "fe60e6abc3420c6d3133dc5dfae188cd400b78f9".
Changed file "bq.class" from "f78abf3568611fb6f8d590f4ef874f5ee7e8a694" to "f2a4c07f228c2fa6034a5c896f0634b384d03d95".
Changed file "br.class" from "8accea661e545d0b4797f93379564391c212b4f3" to "5e936c021ac223be4bd5fb0ee0fdbf3f387def1f".
Changed file "bs.class" from "3cf858062b9ca950b3d3a4bb5202e1485c4e7383" to "42fd093fdb1d22a28c46273e3d5839407c3f39a0".
Changed file "bt.class" from "fb23e38aef167caa1f05044f6ca65d8a610d2028" to "662a9f5dff3afbe798e73c387f8a5b35f8a92b10".
Changed file "bv.class" from "e10c5e42041b0cb25d702a512850b3b653c734cf" to "ca213142b56335e7f84ba0cf9be9bb884b274ea1".
Changed file "bw.class" from "e7b8a3c9bd686b5aa9946e5ce052ee580849b7e2" to "b38ee72dc313e890c23866b05ead346cf1b41281".
Changed file "bx.class" from "3ec6e12d5632796558871c85e8df70784e1ec721" to "7f8a4f90733bef07219fb3c140d7447c267ee0bd".
Changed file "by.class" from "777b3317e167989f67b6adbd3f4068c4cea9b9be" to "3229c08e210bb78a18d841a0806b282a2b163f1c".
Changed file "bz.class" from "2823685e8e4b1c999cebddaec22b9d5f742fcf44" to "89020d63c1b606b5c2f0f087121e2cff3eb58542".
Changed file "c.class" from "e724511435232ea2f3d806842ab88db210fecbd0" to "398805bd3b0c9d1137e9d59668de151390c88a67".
Changed file "ca.class" from "12f11541b6c48a95bd72569bb79006ef8486541a" to "aba2c143e4872045668fd217dafccb4e1810a482".
Changed file "cb.class" from "6e7a61c18dc0d70e81f7e16829c392fb98f7b338" to "9d67fd1fbcd41291986ee8f57b806f4d3fed51d7".
Changed file "cc.class" from "eb226ee1399fdcbcac76cedd72b3b4e962f59857" to "50d53dd42f79f380bd6b49da0959f8fa6a1a73b8".
Changed file "cd.class" from "03223ea91d53509eeac9896cdb701016e3e7e693" to "329daf7ca34120dfb1ca1989d302bff83e4d5dc4".
Changed file "ce.class" from "f371af49e12b725720f9845158bbc9a70bd5dd95" to "c818945e737e18b1e32261175508d8f58162914b".
Changed file "cg.class" from "3096c5cbf81ff92a995371f25f257c8789ece7ff" to "c19848a7d8785fca1d292c6dc5d101f17bc693b4".
Changed file "ch.class" from "22e0f48e802d753b3ba45a0b3c956a37cc269bd3" to "5e95e07669d8b9abee78de4a259f78084e94b635".
Changed file "ci.class" from "b0eefa5a3107b1f0b9cc72a4bc32e98915c1a9a0" to "4fee6bb1f5c34615b4602a0dfda97eb0461c369f".
Changed file "cj.class" from "5bcf8d736aeb417f0218ca112b9391dbe84cd488" to "50a5997c9141f90facf02e1b00fef9b9a2bd5336".
Changed file "ck.class" from "cf325156b04a0ea45e30c0d098a2d233c5734556" to "ba13c394c5f2f599e66aa15cc1bac3c2607ba20b".
Changed file "cm.class" from "33d9589df89e619b7a7c5767121bd25c3ea424e2" to "78192b20c61411381a1b50cbb15617a32a9a2156".
Changed file "cn.class" from "a5655c0eebf821e9df998e8ad358f99e19e72b8a" to "fbdabb6efe90635b39a3d87d90489fc6716f5821".
Changed file "co.class" from "09d533d11dcc46ef5d454e326f30eccaf2aab8f6" to "f48c19dd1e1ba8f32f59d3d7dfde4d9d4fcabe14".
Changed file "com/jcraft/jorbis/Floor0.class" from "0ca41cc6d049ef7bbb913dbef4ca4dc6579ffbb5" to "b4627cb6b74db58195e04d34bec84981f6f055a3".
Changed file "com/jcraft/jorbis/StaticCodeBook.class" from "3ffb2fb7b46d28fd12e086665f6d33c1fa6a7a19" to "1d8387d3e7fd786ba7680afce89ca346131ebaf0".
Changed file "cp.class" from "249e66e2d331503c8dba150fa50104a8a225bba9" to "b600796882e07bc1edff402536ec469392734a85".
Changed file "cq.class" from "67fb5194e6ec1206d014eea24465d51fbf2abc5c" to "dd7288f87e301a42ef672dddba6440c096ab4b8f".
Changed file "cr.class" from "555aa43c2279a3416ba6277dd7e60224debbcf26" to "b6d7b68480aaa09c288d67accda7e3fc438d5538".
Changed file "cs.class" from "c326e7730ef5b06033ed2257653b6ab2984cc43a" to "4e47b2298dbd8deb3076a0222798c6d2559fed98".
Changed file "ct.class" from "2da739e57b9a3e73e58c797029edcda5fb2cd5a0" to "c5a75207e480fb51addffed663ad79d3d8ff343d".
Changed file "cu.class" from "5c893aa403c8adb0f969921c5f862765c0b3353d" to "fd9048aae515ba9eacf982b383036576202fe8c4".
Changed file "cv.class" from "de0640998dc8df76dd345e59e47324b1809651e1" to "bcbb0137145ec705526902df438dbe88bcce0b51".
Changed file "cw.class" from "f4ed63474116404082ec5108eb332ea0df174c97" to "7611f67e1597fdc6eafe461a52d9fb4e597cda7d".
Changed file "cx.class" from "88f36e1359279b09a7ac9909663f2e57c143b98e" to "e294b5610ca514dd0370d3135eb7f00c724b8db9".
Changed file "cy.class" from "c3e38c1ddc28f38d2effc5657aaf701e6b1d8029" to "dc9ac90bdb434f8868dbb17f1139aac7cfac5854".
Changed file "cz.class" from "f74574aa904e966d442e8e33fa99e3d2d0c1f834" to "71d5f06b7dcc4c5f6adda82e23d3bc59d869eb16".
Changed file "da.class" from "a9ba4dd94d4301036192b863a5b4bf7fbff7a4c8" to "d6e24cb82ebd734d37aa7d7e86510ed5605d6beb".
Changed file "db.class" from "3a12007312112408d02b7c9713f9a6af80d7c4dd" to "3daae452dea812c5339624acab24aae6253f94d6".
Changed file "dc.class" from "4c8dcbb96fac69223fed3c100e987344e380ced8" to "256b849a998dfd6cdda9d268b198a871d4f8d166".
Changed file "dd.class" from "5bb3adf422d35b85b2bf70b2bcb8e2b8a496cee0" to "e467be031fbba0f9831908ad1c1844f3525f8be5".
Changed file "df.class" from "0b6573e06036f36d445fc136f1df1a705c7584d7" to "55e4d3b82aab2f05b86ccc8ab43054c42b4cc207".
Changed file "dg.class" from "42069a291960f6f3b0c547a3a200677d72c8dfde" to "145443242cc9a9bc57593520d7a8fbb729a4a974".
