Difference of "all_files" between "b1.2" and "b1.2_01".

Changed file "META-INF/MANIFEST.MF" from "660b4a80b73227cb469e2ee8712aa206fa44dd18" to "84200e498139b1a2665e92025c90ae66d5441f5a".
Changed file "META-INF/MOJANG_C.DSA" from "ff33088f764921526fc43ffa8128d27a9bea9db9" to "a53cec488c4077e5c8a009f59f587fc402dc7654".
Changed file "META-INF/MOJANG_C.SF" from "6d9c0395b31d7626f5a88a4b152dd4ba316bb321" to "d2783d3e43006f3ec8947b3d2ef8bef3fb3e1693".
Changed file "be.class" from "c8ac718c31e98b8a67ecd13dc2755338e49c4fa2" to "0fa10369ad4181988b540f57a37fdedfc109e5fa".
Changed file "cp.class" from "53d5833d050173f8b2408004246fd3a50e1b8185" to "4cddb138e0dd96be9dd1f901f2b68ab9931487c3".
Changed file "cq.class" from "c9acf4f738a4dfe5076e8d1b27823cf89f1d2188" to "4827810a599602e7ceac62bb85ce59b872283b2b".
Changed file "dn.class" from "8c570ebf3c302cb2e3cfdf3ae4081534e2068336" to "50cda34250aaa3d7b7c53bb90378c7a972608f22".
Changed file "dz.class" from "d4e8d2a97598780bd8c9a39a35b35e71598c0c86" to "77121053aed3c60162bdb11de94f78e49fb53206".
Changed file "gg.class" from "10e66593fbe0b765f746539b46f539dc6bfc3f29" to "396437326798f4cfa718874ceb7f919d18608bb1".
Changed file "h.class" from "9af65355ca36fd57e8412ac753e6c1435274f610" to "5f84297c5d70289feb634176f81bf26656b99e4a".
Changed file "hi.class" from "93ce1173d12b6eec86e3c5e88dc036c2c9bd34b2" to "bec5bd3fa90c34f7a113a247bd3357ed96d54cfa".
Changed file "hn.class" from "7a5378ac1e170c05a973fd24b67399c4aa6f34ee" to "52ad3c986bcad7a11bc713078a33255faa1391d3".
Changed file "hz.class" from "4e8a2c202147d63a61d6848556bc3c38d49308c9" to "78ea0d9fd266341724dc50b26a0ae1a17fda69c1".
Changed file "ib.class" from "3f4611e85813f174555a9c148b77415c3b5f0381" to "d9fa6ed85c83d48746b9992bc2ec8fd20d5520d0".
Changed file "ku.class" from "8d98cefb36ccba50129de7dadd4c7c38180cd067" to "f3b2589e7a93bd8057f5f096fa2f07076515b601".
Changed file "ll.class" from "526142c4fe27270a446cb62b7dc42de2baf17c12" to "3de6fb851353fb23e2828b10e1e9108203c76184".
Changed file "ma.class" from "a8ad1ccc99d8531b57ccf980aebc7f8de9ba61f9" to "03afd37ac372ca2bdbb053c83340c650c4c0970d".
Changed file "net/minecraft/client/Minecraft.class" from "980d68ec5f965a643c7da982a2ae5c18083aafc1" to "4596926208fd2f510a6de930ce7bddfd37145b4c".
Changed file "pe.class" from "676f8a36a5281de84c494bb71c2cc2e6a443bd98" to "a506a34795fcd46b74d958872054d11f0b39e628".
Changed file "pw.class" from "bbc8b197e31b9887e2d2af65c85b820256ce96f3" to "5e4314b8f3f6bf75bc5da595818c4f5abb69faf7".
Changed file "pz.class" from "dcd8c54e8732842b1af69c88b24802d8a1582fbb" to "be6a2f145c2319127986ed43b8d39dd64aed17a2".
