Difference of "all_files" between "b1.2_01" and "b1.2_02".

Changed file "META-INF/MANIFEST.MF" from "84200e498139b1a2665e92025c90ae66d5441f5a" to "716e64d01d6e4ca9518d7b0ca13e01c16211f5bd".
Changed file "META-INF/MOJANG_C.DSA" from "a53cec488c4077e5c8a009f59f587fc402dc7654" to "73a133d64d5ec5f2a0075dd32da90dd17e01d894".
Changed file "META-INF/MOJANG_C.SF" from "d2783d3e43006f3ec8947b3d2ef8bef3fb3e1693" to "40839da1775bda67d15e9717b830bfa5dae57ac0".
Changed file "be.class" from "0fa10369ad4181988b540f57a37fdedfc109e5fa" to "8d71505c30e3ae5e557038dfcd434f39b6dcf43a".
Changed file "bz.class" from "3150ad5188f0073ac0cb8c792d3ed50bce2c9562" to "b64f38aa0c587bc40bdee127f1d446c64b275331".
Changed file "cy.class" from "8b04b30b959fe096e782a4842f7e17b01a63db09" to "61948af269bf1c076bf686838c02ade90409ea11".
Changed file "dz.class" from "77121053aed3c60162bdb11de94f78e49fb53206" to "5ae897911ef04763a5ec76c8b8f8b3b7f0164d60".
Changed file "eu.class" from "3be8c67d2836632047318d3c9507aa67ad92d705" to "696ef8b9fa88c35df6a71d65f2efe6813ff52a12".
Changed file "ff.class" from "ce18ec96a3526b6455957502830b112f8147cefb" to "447e047014b7f3af8ec6fa185609d505e08a8f2c".
Changed file "hh.class" from "9d693341fec9e79b56db0dd0f22e7d4eaeba5c22" to "979bd2b464b16fc3ec430ff7b759ba34e2002880".
Changed file "hi.class" from "bec5bd3fa90c34f7a113a247bd3357ed96d54cfa" to "1941326a3231570b7aed77c3bf6018417bc11d9a".
Changed file "hn.class" from "52ad3c986bcad7a11bc713078a33255faa1391d3" to "297b594a512568577207b268c1e4f3b4700a0521".
Changed file "ho.class" from "13c752031f4b4906e533d262d0dbbda8f1fb2a03" to "e01c5a87b9af09af44e08b42f84814ef2a28d086".
Changed file "jd.class" from "9f859e18f0f89121c15d025661aa9c4272d72543" to "0f2c5c31b50cce8462f8b270de369e736c1764c8".
Changed file "kw.class" from "7b9179883b4290330976bdcf2dd0113066a96310" to "aff62f860e3bcfeaf8aaf9a3e6d3efc4b2e7449d".
Changed file "lang/en_US.lang" from "15ef11a80f2baedb19210d9eb3e0055c8e0e75df" to "fd9222be83c16b92324a2dffcb7444f84621afe8".
Changed file "ll.class" from "3de6fb851353fb23e2828b10e1e9108203c76184" to "c6e3706ac4001a73f007ebe0bd5ec91e2ef62fbb".
Changed file "net/minecraft/client/Minecraft.class" from "4596926208fd2f510a6de930ce7bddfd37145b4c" to "9d3b5e46a2ac668cd98b91fef3b401f660795512".
Changed file "oe.class" from "9fde02bb9eced404308df7dbc884403ac25f265f" to "bf2e401f95756d107b7ebc5f9cfd942685b1d027".
Changed file "pe.class" from "a506a34795fcd46b74d958872054d11f0b39e628" to "268aad1d38c302407edb1535cc4fb75a2ac761e6".
Changed file "rs.class" from "522b4f757a52ea5dfec7fe2a5fa4ae1be8579121" to "c7a08b09a22d326ff09a38293c26b5fa1ca754f3".
Changed file "rv.class" from "1a7739f5133de5d0c6dc330f6a2cf589fcc3bd59" to "fed7c371c3656cb71ab2e68872baff185923ff47".
