Difference of "all_files" between "b1.6.4" and "b1.6.5".

Changed file "META-INF/MANIFEST.MF" from "a1619a1803d9819ab15c53f1ad6f973d2dcf1a30" to "de2fc0b7e5150de3b2cdbfeba4f66835d5c4ac94".
Changed file "META-INF/MOJANG_C.DSA" from "aeaa8e499c402b4914843dc1e00ded5742c2e1d2" to "a58a0e9b62f662ebf10f903aa9420251cf131dc3".
Changed file "META-INF/MOJANG_C.SF" from "f6e447439d1874f47b48117a2afe48d1cf4cfaf9" to "0073675e376f443a4d207ab7e93dfbc87c3d3d01".
Changed file "ad.class" from "803086d3559ed90870141bf366e85541b1e34f04" to "7e26e1002aa9d5585fb61b0f5a13aa6071c626d1".
Changed file "aj.class" from "9cf4658a939a49740ea746aa4763c4b3904d9e44" to "8fb33cc1da113a22ce44d524ebcbe4d7365ec669".
Changed file "aq.class" from "342ff8537de8dfdb86329ab17327efc27c495703" to "6e4662a352a50adac1398330d114e41746153455".
Changed file "au.class" from "71bdabf5848f62a2c2c4e38dd6c4d2b63642b5e1" to "3bbfee3b9950956b52fb8d5d85c1688ee3a24880".
Changed file "bb.class" from "8b730779f6b30f60ec0ccbed43d65363d62f2ee8" to "f276fc1f9e4f7d91ff9d3785497eaad2a163c680".
Changed file "bf.class" from "1ed6f0e7beb97783b5f754bf78a5428ca2d2c849" to "d3b9985e001e0e1c337a93ef5819adbc063ff477".
Changed file "bn.class" from "bf2796ef012b90894bdd71210bdbe795bc88c25e" to "c36465d970d24232bbb33ac8309bae6c350b2f11".
Changed file "bu.class" from "34ae36c60c7eab1b83e9efba86a5c154fd158b71" to "5a2fed472f8d604784c89681438b9038bc1ca660".
Changed file "bv.class" from "f525be8c9917873730c42343d5c99c9aa21c0d4e" to "8f45fdaca2d8104f6ce5cbd401f0dc892370b659".
Changed file "bw.class" from "bb60f4939f3f7fa0a7a2c7495a397f65accf20a8" to "96cbc71540b6fe0647e46fd46b7d7bbc18fdd593".
Changed file "bz.class" from "4879256408e9baa23c8f58bd7dafd9cc962243c1" to "3d34311dea6d93c33b3f33dfc7b362b237024704".
Changed file "c.class" from "59d3ac25e3cf8725d0fbb41696364867f5f8c6f6" to "81cb11b04328efecfddfacf3f45868e5f653fb22".
Changed file "cd.class" from "32d7712c9b3d4cec2d36b11f0a77b648ab2221f7" to "575d27ec8c74d4e166734029155ef8d0bbab2dfa".
Changed file "cl.class" from "b026a569496866f48b1fa27a4083fe98d73fb231" to "1a6396b900c4f81430e46922027a23eb1a8b6315".
Changed file "co.class" from "d3ced346cd228ceb63e9c7bc7091031a9c2ffddc" to "20f10101c37b6122fa12a89112a684a775c18ab8".
Changed file "cp.class" from "af23c1b23a19acae31f3f4b130d9bfd7d394c27f" to "70ac86abb5afe26090f707620c3ca3d3faeb7ac5".
Changed file "cq.class" from "0fe3841a0ac6c5c88597e6e8d3a088ad571fbd42" to "012bd2939bc87649840aa574a3fc32fa10c2b6ef".
Changed file "cu.class" from "4698d6e4957512da7ea3605e402f1ef87eb2449b" to "104803b5b526390d183a2050bcc882da78d66b12".
Changed file "cv.class" from "8347a4b9a060dc242b86679c458153d0ffd15446" to "931a1f66c5b814b645947c3ccaf9203c52260c34".
Changed file "da.class" from "f551f2455505f3a3711a0dfc2efad40bce342326" to "14b36f42f5e4b1b682a1732f33136043eb148c04".
Changed file "df.class" from "188b3213b10890ee8a7e7ba303a80b81857642ef" to "9763b3f03e32f2f0f89728f8f8800e643c367089".
Changed file "di.class" from "cf2d4d4784b275fb20105f5b6ad5867f1c28cd4a" to "e378b67b37111c0b5bb1096fee7e4ce89f250c1f".
Changed file "dj.class" from "34cede8bb3fbba82b31e58010dbcb78afc99370b" to "b8e0984b354ab642903df19a164fbb069a5212bc".
Changed file "dl.class" from "7c8c833b84b52c87025730fa8eabee70daf8ce12" to "a7e3442a95ef91565542f112de3ecfabc2accb57".
Changed file "dq.class" from "53e1507273383697dc77d3aea54d360a7ef6f54d" to "270f1557252d91c1ca1365a4ff97ff8ab9106d4c".
Changed file "du.class" from "e7617b02a6c1c0d0c7bf933a4f68ef8e7bc78489" to "a2cde5becb6a7892bc50ba082e05ef8933654e02".
Changed file "dw.class" from "8c760dac6e2dfb25eb172daeb3af8aeb641ee52f" to "e578c6bc2cef5508005e59c433f4918def7778ac".
Changed file "e.class" from "608554738288aacaaae231f3c5d8ebe5e9a435dd" to "67324c9c9325c7afd1dcf52a8d2477a4afabf14b".
Changed file "ek.class" from "c22e6e3e5696bd1aa505e18ef8290db2a77078e0" to "bf7f2ea8a91e451f6775701ed157bda9b19e4e0a".
Changed file "eo.class" from "c82c39274d1167b501e91999124743b626c7153a" to "423337fc53edb1dd829d03addf7a00d2410e1c4a".
Changed file "ey.class" from "25adf18ec63971d9a95b8117831168152b1e725e" to "f6b8786537eee1bb51bc38bf56f8defc44b27c09".
Changed file "fa.class" from "60d5af5b58bcb965c0fdf10d563911194b010e69" to "1897e3b691192cb5a09b36962a09f58b822c58c7".
Changed file "fb.class" from "2269da171b3b4d855be7ba1ad250d2dbcd8c6de9" to "6e96af7df4adfec9410a93e819250b08d6305152".
Changed file "fe.class" from "30463961efec5e4a2ae0d659afcaa05f83f5b432" to "2f02c464cb2086a3c0d3dd1213c01de61747ae0f".
Changed file "fo.class" from "a699eeecdf3e30b95dad746d899d7f763863911c" to "a898cf1b58dad07c74421b6db5406eebc2f80c89".
Changed file "fp.class" from "218ac119fcc483ff8122a29b115b5930c28c6643" to "375ab9715c3d3bdf2181d4d0c84b2a8afeacba36".
Changed file "fs.class" from "1fc40ae7b3b1452a27313de66e1413ce7255d408" to "269e3982dbfe61c5ca668d5f6d69606109552144".
Changed file "fu.class" from "7335613e9408f83bdbaf9f47928d544f44abf05a" to "a41aec34544c4ca1b7a6d257dd69f38e50defd61".
Changed file "fx.class" from "89580962a9e209e077540ddb1321f638b24334c7" to "a2ebfcc19a4150f703e8b4598d7e6834a7671373".
Changed file "fz.class" from "decb58fa22e10771b672b0c69bef221f7271806d" to "760528324e693cf6924dfa8f81f554f209050878".
Changed file "gf.class" from "67446a435b48c8506259c58295681d3ca2f566c3" to "be23f0fa514917b06ef8e6456d2fa5a8367e15a0".
Changed file "gg.class" from "f669a72a66926f7884ceed52dd0561d6310b42e1" to "408b091d577bc09ff1cacc3c944d4e5429ecb45b".
Changed file "gh.class" from "99d2f3b4e809dd78723195d3d9add1d22f6e5110" to "14d832f461490d3f9c0d018b49cbee34459045f8".
Changed file "gj.class" from "65d6b674cdf9dcde55a87e50b3774dfb1f44d770" to "7339abfde75e0af8a90e2be76c9912fae8dcd9ca".
Changed file "gl.class" from "5f990a3f589bfea181a85a20dddd4edb2e5657ff" to "8f0ff1cb191dc812292af7ffd3e2dd37e9368989".
Changed file "gq.class" from "aa76986eff5dce4b396c171326ebe068021fdc9c" to "6cc344725fe7cf50e44417c71b35c675e0479f25".
Changed file "gt.class" from "db7874033f99d8bcce8374cbca1292030c4d2aa0" to "0a98e015ffde6f8bba01110e09c4ca47f1ba2bc8".
Changed file "gw.class" from "1a5c6b65040d6ed9f726f213a5fd382d7319f65b" to "669b278b64ad4f64d68fa718805912f758ccbcd9".
Changed file "gx.class" from "728f6158666e4c56110e223be265b6f3d0d4886f" to "10d74058cf4c1d7aa5ae410bd2a0a75b208d2087".
Changed file "hj.class" from "eea61cc500b5f2019be039312d71c5f33a0ad9ba" to "ba91d4ce39d2dd07c70af3daa0134f53694b1a57".
Changed file "hr.class" from "c0bd2cc76fe35c274b0048a6ed7fa67728813a11" to "7deeaacaa7449fc53aa92bc32ff67ab6a184c6c8".
Changed file "hs.class" from "2b58a6894164253f96f944ff34541d60b93f3529" to "07da9a3d01abec36449acf2fe002641956008958".
Changed file "ia.class" from "47d0c397931407f92e662ea9fe947a192e06dda2" to "c32037ecb60abf302361d973ed02da11f003844a".
Changed file "if.class" from "2b3374b71708f38b04c724b85bf0e24334312912" to "516bbad897f5d2426185988e3fb2e5c5da2d9871".
Changed file "ij.class" from "f87f681c33e85f1fd0ca653da0fbd0c26b466497" to "e1a154fa133b012de6cf6398f3e432039bab47cf".
Changed file "ir.class" from "1b7b33d31c1b6b472cca7b9e30cdf73b53ff15b9" to "f5f2abb3810e053e5fb1f35f24e4738d628ab33c".
Changed file "iu.class" from "408861e55f96a8fcdc71352c3f073fbb457757d2" to "6e67b94a06c3bd745cea3405c574e0bca09d5773".
Changed file "iw.class" from "4f02e4690808bd3fe6fbb5e7293dfc043360930a" to "473d80a43b9dff6ebb5c83c056ecf364fd941e1b".
Changed file "jj.class" from "824a998774db9fe66d5ee05a3a1ce5700e7663a2" to "310ed74ccef0f0dbe264f02cecc106b7af0633c4".
Changed file "jl.class" from "89b5395dfeca4e4d63733e4561104399de5502df" to "b391c5becb3de0bd968ab0b12c8971ce6896c75d".
Changed file "jq.class" from "129d59949ce8c3c22c12bdfc4aa12ee92a07d2dc" to "676c1d23deb20278314b9cc60d379bd6e1ff154b".
Changed file "jy.class" from "7f092dffbf130b5dd2e6e274015b9fe3741a47c2" to "6b4b2411f71cd19c1a32c4b99ee92de5182acd9c".
Changed file "kf.class" from "141600674032cc61e4c82282e097d130c058d4e9" to "ebdb284b5f236fc29e5e6d5ebeacb70a21d10386".
Changed file "kl.class" from "208c0d9774794ea4831f28438085ec37e41aa301" to "08d42f1f1c6dac19cecda8d2e771adb6f2cebcc7".
Changed file "km.class" from "23112cc72ae3e2a5fde54de7c80b1d9f5bbda521" to "b8130eb43f0d3c46661664806508de95ff0220db".
Changed file "kr.class" from "9cb320c7364d33654cb1735a4f57a77413f5815d" to "4b52456c73f56604248a3952d75802f3c5b77168".
Changed file "l.class" from "e83b2a5c404fcf5cf82a75eceefcc29b633f08e7" to "03b3e030af0fa862d094594ac76f092fe2281ef6".
Changed file "lang/en_US.lang" from "5c1bdad0f34a209475b6dea5d08a4f6dfc9a15a4" to "dfc5198ab08c99aeb44cc209f7d2ab253c0d0775".
Changed file "lh.class" from "1d3c50efae77a6668559b925f41cd3ea49468df9" to "c4938e38849f3b3d7ffcb56afa117295dfb07821".
Changed file "li.class" from "2ced29368aa9c8c234b238ea78213c3b4e5bcdc0" to "8d879165807f97c5f3b1269edce9aeb425b059d1".
Changed file "ll.class" from "498d02d47f103152b5e4e2a08122e97da3a06ccd" to "bd504c67b7d2650f9ea293e7163264fe38eb7e54".
Changed file "lo.class" from "f24636dbc033b1715fb6dfc2a2c6d4df93f3d65b" to "61919fdda0e06ea41685899576c5589aff081317".
Changed file "lt.class" from "1437a0ef37b7c5c2c091ac358b82e7e75c58c717" to "bbd726d8ccf936a384ecc1291a6bd9d2995affbf".
Changed file "lx.class" from "6571046805288f14417b03895993b8c220ac21e0" to "54a5110218b25ab0a5cd5af0a9bfec7b4b66fecd".
Changed file "ly.class" from "14654dbef2dcd735014024f0a3545d4cb504c360" to "1faba9a6431fc77ecc169b52c1867980429f2806".
Changed file "m.class" from "5f2dbd0544945bd21f57d5468205a0c0c4faed74" to "dbaa7b2e51fb6dd5bc42a5d3dcb2a440433601ae".
