Difference of "all_files" between "b1.6.6" and "b1.7".
Unable to create data files for 1 file between: "b1.7-preview"

Total file: 834 (+10, -0)
Changed file "META-INF/MANIFEST.MF" from "a23597359ea24e06dc9d2a2a876667f6b7b9d20d" to "68e05540402094fb61e1a6a09b8f5ca73a60b9ef".
Changed file "META-INF/MOJANG_C.DSA" from "e882fb57bad3730d209060c896261bfbc9228c28" to "db6e14e45ae368c275f12235618f4d2f9fb74dc1".
Changed file "META-INF/MOJANG_C.SF" from "344188386bb66173ca2e4c98ac917d337751e4a3" to "bf9cc359655233772d09f51f35bf18c7189dfec5".
Changed file "a.class" from "e35835e7bee80faa974df2b25a6fcef62981402d" to "8064e3e702dd98b81b2e8b448a3e34a56a8be145".
Changed file "aa.class" from "6c62847868e2606180190374c4b72e0fd9e91ece" to "68308c4cdc55de835b3f67b1e33fddfe64090f84".
Changed file "ab.class" from "0b64c03f4057d0b92c9a28bafa39fcb8bdba0ce2" to "b87706971d7b4db081fe37d97d17f403b21ce89e".
Changed file "ac.class" from "76815b31fdb6cabc1873b8555329edd4c6182bae" to "dc21828b598d13e664c18e822e25480dd74a686d".
Changed file "ad.class" from "7e26e1002aa9d5585fb61b0f5a13aa6071c626d1" to "4b9bdd6130751a69b1ec13efdd091671321095f5".
Changed file "ae.class" from "27c8bcd189ba8e153453630db74b6815f61c6bea" to "90571a51dd453d1838a62edeee2211536cc46f81".
Changed file "af.class" from "c2a17d760960f5a0c92985195da7f36c62bfcf54" to "dd4c1c99ea43fbdd8ec012998b1a74cd282f5dff".
Changed file "ag.class" from "aa3e1b95c46a119a21ba9aeab2c162e2e0e7d111" to "4fb1799f40c07e6b3ae3a12fa65cee07e51e3f45".
Changed file "ah.class" from "73e9ac8596492284bb2e947061c1e0ee8d6a3842" to "aeb2baefa1d902e392a60275b6cc3bad398d2b7e".
Changed file "ai.class" from "9596db8e8799f4a0933095be8248b741b877e330" to "eea7be87501ec2ebd75c6bc336acfa5d83beaac3".
Changed file "aj.class" from "8fb33cc1da113a22ce44d524ebcbe4d7365ec669" to "f7d95ab33a6ccea71467b1e793b005ae87eb4741".
Changed file "ak.class" from "bdde444bc2b5e3cfb32a10773b92f440e7f7a8b8" to "8e1c2731064dbd086dbde18926ecf2201ab978c5".
Changed file "al.class" from "8b2eaf4d2fe7e67084a3f65b7e3f1dc58f5f0747" to "ae30c24491ea402b71b4def2f0a2f5ab6c884cde".
Changed file "am.class" from "47d52305049afa00702c29b5ae61ca38b7b8800a" to "7dabf8ce7cfe798d8c8b3f05fcccc468c296f161".
Changed file "an.class" from "b8526a0487b7d0b7d7820cb75eb529b3e34b2dcd" to "78f12e8dddf72bec13b4010467b178f8339dd5e0".
Changed file "ao.class" from "1da21a649f79e0aa2e5a8c1a515a2c77ef27c0e1" to "b00a270703349e6e70c073343a7a1fbd4713912c".
Changed file "ap.class" from "2e7e62156705d8f570f67631ce6e2bf5e08386f3" to "be9899477560c1d1555abc12fa78bff45bde84bc".
Changed file "aq.class" from "6e4662a352a50adac1398330d114e41746153455" to "00384ad7ba63c3b7ae71ee6e302d768e94c50af9".
Changed file "ar.class" from "52ecb505acbf1fdb3c6d948e181b84577f92f224" to "57a81b24af6a8ce43dc63d57208aa3cb4858e54a".
Changed file "as.class" from "cef861a0f8365e12064f1948f866601890d97d13" to "7feaf506d2eaa9a8a9a7ef390772707952796fe5".
Changed file "at.class" from "7c55555482655a86e70ebccb5460a150c028f10a" to "04d328959a51e02b94b269c16decc67061495c3a".
Changed file "au.class" from "3bbfee3b9950956b52fb8d5d85c1688ee3a24880" to "f8ddfd51f5246a2719bc71d391ef60b3cbb805a7".
Changed file "av.class" from "d7f3cc07570d9f49c8f64b7239acdc2a9c43d7e2" to "4646b804ccaffa71a49ad7428c98c9bd05ca94b3".
Changed file "aw.class" from "de99baee8b655c51c0baab07dd25ed257cae86d2" to "b99804d2a6785762eb01c9ea27cd42c0e415e01e".
Changed file "ax.class" from "79818d1e0d85123c2b56092b7e7fe4e18eaab0c1" to "af914940e2a7dec38310ba52176d54afc2d62bfa".
Changed file "ay.class" from "eb2ccfade65e32ce3e98b1657228005b9d7f676d" to "5a92c5bd9ca7ed5301e4b79e1cf9f27c007a6952".
Changed file "az.class" from "7e7031e34f1b098e98c208de618623835e7ac4b0" to "e2c3a912de795b18cf82d7f435e01f42784f55f0".
Changed file "ba.class" from "ca5bf458d470fac2f7a310e4b6d303a77cf9cb86" to "2ce3bfaa112dba7f35a9567033aa004b87b14a53".
Changed file "bb.class" from "f276fc1f9e4f7d91ff9d3785497eaad2a163c680" to "62fd5aeadafd9b01e08994290646a90ba95d2907".
Changed file "bc.class" from "b9ce3bd1895b7cf7c31b6f36979cf69c7d10897f" to "a10bccbab60795193f4e50ada165bc72a615ffe9".
Changed file "bd.class" from "a7b9550e4937130c5e71d26a5987dd671e31d36d" to "5b1dec87cfed11c992e1321929106e04fd364376".
Changed file "be.class" from "08e98d440e2c2f41ceae102bc1023df280552476" to "92fa75ad892c608cecffa49e585b6dd1930a8102".
