Difference of "all_files" between "b1.7_01" and "b1.7.2".

Changed file "META-INF/MANIFEST.MF" from "d0466428baeef6d3ddbe13db0b7c7d4117f57a8c" to "eecd3b624a684b7e2b52e0ee0745eb22891e7bd8".
Changed file "META-INF/MOJANG_C.DSA" from "c4a19c64292f517ce4bccfa0ce9c9e3cd6cb6707" to "00af2e2e58cade49e4abdaee33fe8091051db690".
Changed file "META-INF/MOJANG_C.SF" from "a0206c3578956340809def33126aecccf8bcd8f3" to "9fa4a3fe73b9836236c80c164d0653565427e978".
Changed file "bv.class" from "b37e386870dc3cd4335c742c9f2014bc785be693" to "ba39f67adb94fcecdb494fa2729f6d520e64a216".
Changed file "cb.class" from "34aac610654895ed501e9163b2c5ac4b18bc408d" to "2520e35a125a8a8a01be630ca6b1bb673597b1e2".
Changed file "cv.class" from "a1fdd44c2625a4c9563e7084148612e7f18971b4" to "10b82292e1e70933dd54a9979639cda55d4cb991".
Changed file "fu.class" from "b46bcab001d7fd2fae3e0eed0433944d5390f501" to "8e6bef954d5e72fefcc0153ce97d701e977451c2".
Changed file "hy.class" from "8f1de7e542eb6317bed4fadf068b1841b9ed74ae" to "e4556a29ee0db3b79cae55e0673d95fda1a00748".
Changed file "jq.class" from "6e2a9975a7780611d85e29cdcea4a58501ee1455" to "ff2ee8c9bc1951d58191daf60c6139fcd418a914".
Changed file "net/minecraft/client/Minecraft.class" from "7afb13053cce81e011c199a00ef26af05506b065" to "0e6b7f00ccd2058b19f63ae5a0991175b4ce78a8".
Changed file "pc.class" from "9a3971903a236080f8a2921b7064e63260f6d397" to "92a245a60dc7bac8013a93fc3eb4e7f33bed1bd0".
Changed file "uq.class" from "667feb7bf7a33368c82d3b275ec581e212a9c22d" to "a59a6ac2e9214d32d9f7122152d9905733170e9d".
Changed file "ut.class" from "c49c1548f61478224304c6e0bbc0210d68123620" to "03dc39008ad8deb32181d052b0e99e4d8dd13ae0".
Changed file "uu.class" from "e8ebf8287ff591c572fc8321974bf0bfd211131d" to "0e076b84e397dfdbfd2378490b49c0aec9ad566b".
Changed file "ve.class" from "a27214e0c1d95cf4d539a2419d592a5feddf6bc1" to "38a0ab52066d8b325819f0d08e3ad1571e9a2e74".
Changed file "vu.class" from "064ac25de083dcb2fb13f44f6d33c1bf984f5f27" to "a161473c54961588ef3477bb9ab6b668b76d8f63".
Changed file "yl.class" from "ae35188aacc3bcfd061f911134bad1fee77d461b" to "e96ba09fdb0b3b4eb2c3c8551de21e1a7c30c377".
