Difference of "all_files" between "b1.8" and "b1.8.1".

Changed file "META-INF/MANIFEST.MF" from "a383edc97ce0d1f67c69d467f3673739f8e167c4" to "b7eae9ba63f19d9238026a9d2a880adaf8e6b302".
Changed file "META-INF/MOJANG_C.DSA" from "181cdb142fce71b0b060c8db3d648aaa5cbce5ed" to "2e57208f53523297b68a2baeef6e3bc2dc4bd2aa".
Changed file "META-INF/MOJANG_C.SF" from "add764e5ee2e5965e1e842de1c3cbc570b87cef0" to "4967634d7037d90b2fd0cdb3159101cd283bc334".
Changed file "abj.class" from "306ce4a78888288674963b7bd45dcb3478530e79" to "027e754dad372b0be1d045f02f133ec7c45f8854".
Changed file "az.class" from "8e4de62d5413792dd43612568763dccd844823b3" to "6b8cae4e106bb48fdd3f71b84d1c2eca13729945".
Changed file "cf.class" from "c8236a585d4fdd8fa5ffca8b93048fb01ea02d57" to "cb2c12896401f95734fac65b94742421e1ee29f1".
Changed file "ew.class" from "9db22fa5d9efc2f8828fc246bb2dd3b0f2d7f9df" to "b5f13b1472d2d7381599a4eb886c2721129424a6".
Changed file "fz.class" from "ddc610780be20edb9f014e53c11a98d17993c455" to "329119b78fdcab0e73b2daeff26271ebb5d83acd".
Changed file "hq.class" from "f7e7e58eab1729eabf8ea31e06e5dbf8789651e9" to "f3f07b659814eff2dee3f786af19bfcf5e046cbd".
Changed file "ku.class" from "51ce3569ecf98faaaab21c32889f817f33415fb8" to "0d2dfc4373f45c679076a4e993676ab2448df607".
Changed file "net/minecraft/client/Minecraft.class" from "d640bf1c418e1d56483850bb8a89c45b52a7bf94" to "4394a2c7c59eb9d2964fe9d30696628b9a623982".
Changed file "pr.class" from "74141620f2ec98cbb27e1d5b6712208f9b1d4dfd" to "5d3f668fe7f09ed1e567d623a4f13b8b67c58c11".
Changed file "qd.class" from "35d976a32abbbb8c377a0083a874272e7ee16f1d" to "b04f497565134c84bbf315137b6a2658e7bf0104".
Changed file "r.class" from "2ab2455d336066afdc817f68a01b448c33567aa0" to "e4e2d1de3db334d62888812cd9461545e50dcf81".
Changed file "sf.class" from "b918c1dd562baaa4a1cac1b72b111d6ace9b9bb3" to "a73b1e63226643777017da26c8a92087b3b58264".
Changed file "uf.class" from "2dabe628eef6b8667e771961758c0e19d5dd29d1" to "f4cfc7fb92649c3efc9b741b363da8b445fd40f0".
Changed file "zz.class" from "38fa3826dfc5b3154bd91b8f30b6952f0ef7c67b" to "87713a8868388a3a09c3df97b0afc1dc849add40".
