Difference of "all_files" between "1.7.6" and "1.7.7-091529".

Changed file "META-INF/MANIFEST.MF" from "01421d139fd29c5958b1ee1ef4426578f1313616" to "a8f1fab1545f4e2fad252a53efcde288f5362852".
Changed file "META-INF/MOJANGCS.RSA" from "5215eac0faaae06234e98f83de81d1b41fbf5fd7" to "732d71c896a6a653e322171324214f512e2eb0ce".
Changed file "META-INF/MOJANGCS.SF" from "50404d2929567d23d385815b401eb62e122c1716" to "69744e31a2120394be792f8a164080938ac188ef".
Changed file "apm.class" from "9abbe759573b2d574b01e518e1b2d996080d5c7b" to "f640bd9d3d28265323dcca314f185770b3436a6c".
Changed file "ban.class" from "f155af0d9ad3ab8a64046dc5ff7c284b3aff6604" to "f8af563db075b2ca14bc4833d672baf002970a41".
Changed file "bbt.class" from "2334e72b174b7a9105b9c33a2ebc1b28f66fc90a" to "ecec37fa82e058339d77aa52671b5537be61767c".
Changed file "bdy.class" from "de114ab1ae70debab5d46a5df5e81b16be509089" to "156a28d674b839942b885d493591355a016b69b7".
Changed file "bdz.class" from "ad524dfde7461ee47d9f4cdc8f710ef920048e70" to "026333711fd986e9a265da5db749e3a90c3470d6".
Changed file "bgb.class" from "f528d90606afd5085925221fe772249619c940d8" to "8c2b2dc27ed35cce2bcd50bd7c5fb0a8d8550f3e".
Changed file "bgc.class" from "15ec67ebfdae426e0aa6f368192d2b2e63fdb617" to "54a7a3c53038ca65c51347db3793b1b0a47c7e8a".
Changed file "bge.class" from "f90623af2753fdaf02b4478939833362268e5769" to "80fc895073713555123b0f15f08d70f54760095a".
Changed file "bgf.class" from "369666318a8bdcb7168cdbbe240f1762f993e1c5" to "fec1bff034243d7dc0aa8fbeff0d97ad68a00c72".
Changed file "bgi.class" from "4146091e1307742cd3f52e1e8d2eb34618aef256" to "979796f245501cf39828886c3ac79420749ab69c".
Changed file "bgj.class" from "f181f8adfa11f3063c8a8815d6d61d93fa521eb7" to "e7ce9e39e28aa1ebca2dbdff6c9699d15f633248".
Changed file "bgm.class" from "c0d932c18b070a601c6864ba9d67310dd3bcb39c" to "6ddfdee7bbc566d3ba5ee66d0eb1ccb0264ca17a".
Changed file "bgo.class" from "ec61932c5ee61448f030dad20b0ed61246b7e262" to "130ef2b701ddd4057d614c4bf40d59f0afc05ee2".
Changed file "bgr.class" from "7e9557ff24edd9959231d41734c5120a970f6276" to "e49676287960ef78cbcea7b289f25e2595b8b446".
Changed file "bgy.class" from "914c34aa8c32802a54024f49a5a53237403597d3" to "71364b6d63d734a35256522cf4e9bb98b0dc3b81".
Changed file "bhb.class" from "5aba73d921f353ffdce4d50a7e8f1e3951b5028d" to "8c3d80cd83d3d2507f486bed31ea08591a591463".
Changed file "bhd.class" from "68a0412250d162c9bb9cbbbe476f390c084333ad" to "ad53191524f553519625040403c2d625a44e1ded".
Changed file "bhf.class" from "2318c98f16127aa5a922b273259ec3de5b5d7d7a" to "d750dc4a179fc3f81d979fb259263d73acc34055".
Changed file "bhg.class" from "705c895e45822ca66451b188c13d9da25748f4d8" to "90dba9a3f358ef33e17a50bce0d28e1c44cd3977".
Changed file "bhl.class" from "3bd2673b5d7f24bddfee4830d14ecffe4c2b849d" to "2b24ae96f8f826b857ea8133049579e65774eb70".
Changed file "bhm.class" from "67d1f898b59d819bf1297ed421dc03c57dd4bb47" to "275c96504e17a44c9c0da0e0735369b90cdae4ab".
Changed file "bhn.class" from "ca10cd4a6c26d965692dbd1e48f1fd0e30c2eac9" to "df46d378a51b3cfd2872e1e4426011ba0e632abe".
Changed file "bhr.class" from "d7d295374656fa20ba6850132f9687f1c0e5ba72" to "6e3fc2613a4f2a4da6b01fcebb7a9aaae3f25b62".
Changed file "bhs.class" from "98f226be2805185513e028f23de4d9ad3083c9bd" to "22e229775ec103eb352ec1c8f3a93f4331c4f504".
Changed file "bhx.class" from "c7b8cb79b939dc73868611264fe95ffe6cec820a" to "4e0134e603ea335b4a3c366853a315a671ea7029".
Changed file "bid.class" from "534140f87efa608a58fa2ce68a3ebf21d5619877" to "306f49e1499afeb441b2973b18c7711be719d578".
Changed file "big.class" from "ef550888a8abd5c03626cb448793bb4e6aa47ab5" to "e8217be6d377351d318bf39ccb0b356fe60af7b9".
Changed file "bih.class" from "0ba249b8383f424ca35d625e7f992001db56903b" to "4b603cef6749bcd5b0b7279b7d83170afc2997df".
Changed file "blx.class" from "1b8768b5305c4f6f774c242b8771972277ab8393" to "a655e434642843ed853b3e5ba8099acf57a9d9ae".
Changed file "bqg.class" from "ea421d666c07d80c1880dbb75431688bea18462e" to "7c983dc80207d71714c081ce45a2b52b5965701b".
