Difference of "texture_list" between "a0.16.0_build5" (beta of "a0.16.0") and "a0.16.0".

Total texture: 1381 (+225, -0)
Added texture "font/ascii_sga" of ["core"].
Added texture "font/default8" of ["core"].
Added texture "font/glyph_00" of ["core"].
Added texture "font/glyph_01" of ["core"].
Added texture "font/glyph_02" of ["core"].
Added texture "font/glyph_03" of ["core"].
Added texture "font/glyph_04" of ["core"].
Added texture "font/glyph_05" of ["core"].
Added texture "font/glyph_06" of ["core"].
Added texture "font/glyph_07" of ["core"].
Added texture "font/glyph_09" of ["core"].
Added texture "font/glyph_0A" of ["core"].
Added texture "font/glyph_0B" of ["core"].
Added texture "font/glyph_0C" of ["core"].
Added texture "font/glyph_0D" of ["core"].
Added texture "font/glyph_0E" of ["core"].
Added texture "font/glyph_0F" of ["core"].
Added texture "font/glyph_10" of ["core"].
Added texture "font/glyph_11" of ["core"].
Added texture "font/glyph_12" of ["core"].
Added texture "font/glyph_13" of ["core"].
Added texture "font/glyph_14" of ["core"].
Added texture "font/glyph_15" of ["core"].
Added texture "font/glyph_16" of ["core"].
Added texture "font/glyph_17" of ["core"].
Added texture "font/glyph_18" of ["core"].
Added texture "font/glyph_19" of ["core"].
Added texture "font/glyph_1A" of ["core"].
Added texture "font/glyph_1B" of ["core"].
Added texture "font/glyph_1C" of ["core"].
Added texture "font/glyph_1D" of ["core"].
Added texture "font/glyph_1E" of ["core"].
Added texture "font/glyph_1F" of ["core"].
Added texture "font/glyph_20" of ["core"].
Added texture "font/glyph_21" of ["core"].
Added texture "font/glyph_22" of ["core"].
Added texture "font/glyph_23" of ["core"].
Added texture "font/glyph_24" of ["core"].
Added texture "font/glyph_25" of ["core"].
Added texture "font/glyph_26" of ["core"].
Added texture "font/glyph_27" of ["core"].
Added texture "font/glyph_28" of ["core"].
Added texture "font/glyph_29" of ["core"].
Added texture "font/glyph_2A" of ["core"].
Added texture "font/glyph_2B" of ["core"].
Added texture "font/glyph_2C" of ["core"].
Added texture "font/glyph_2D" of ["core"].
Added texture "font/glyph_2E" of ["core"].
Added texture "font/glyph_2F" of ["core"].
Added texture "font/glyph_30" of ["core"].
Added texture "font/glyph_31" of ["core"].
Added texture "font/glyph_32" of ["core"].
Added texture "font/glyph_33" of ["core"].
Added texture "font/glyph_34" of ["core"].
Added texture "font/glyph_35" of ["core"].
Added texture "font/glyph_36" of ["core"].
Added texture "font/glyph_37" of ["core"].
Added texture "font/glyph_38" of ["core"].
Added texture "font/glyph_39" of ["core"].
Added texture "font/glyph_3A" of ["core"].
Added texture "font/glyph_3B" of ["core"].
Added texture "font/glyph_3C" of ["core"].
Added texture "font/glyph_3D" of ["core"].
Added texture "font/glyph_3E" of ["core"].
Added texture "font/glyph_3F" of ["core"].
Added texture "font/glyph_40" of ["core"].
Added texture "font/glyph_41" of ["core"].
Added texture "font/glyph_42" of ["core"].
Added texture "font/glyph_43" of ["core"].
Added texture "font/glyph_44" of ["core"].
Added texture "font/glyph_45" of ["core"].
Added texture "font/glyph_46" of ["core"].
Added texture "font/glyph_47" of ["core"].
Added texture "font/glyph_48" of ["core"].
Added texture "font/glyph_49" of ["core"].
Added texture "font/glyph_4A" of ["core"].
Added texture "font/glyph_4B" of ["core"].
Added texture "font/glyph_4C" of ["core"].
Added texture "font/glyph_4D" of ["core"].
Added texture "font/glyph_4E" of ["core"].
Added texture "font/glyph_4F" of ["core"].
Added texture "font/glyph_50" of ["core"].
Added texture "font/glyph_51" of ["core"].
Added texture "font/glyph_52" of ["core"].
Added texture "font/glyph_53" of ["core"].
Added texture "font/glyph_54" of ["core"].
Added texture "font/glyph_55" of ["core"].
Added texture "font/glyph_56" of ["core"].
Added texture "font/glyph_57" of ["core"].
Added texture "font/glyph_58" of ["core"].
Added texture "font/glyph_59" of ["core"].
Added texture "font/glyph_5A" of ["core"].
Added texture "font/glyph_5B" of ["core"].
Added texture "font/glyph_5C" of ["core"].
Added texture "font/glyph_5D" of ["core"].
Added texture "font/glyph_5E" of ["core"].
Added texture "font/glyph_5F" of ["core"].
Added texture "font/glyph_60" of ["core"].
Added texture "font/glyph_61" of ["core"].
Added texture "font/glyph_62" of ["core"].
Added texture "font/glyph_63" of ["core"].
Added texture "font/glyph_64" of ["core"].
Added texture "font/glyph_65" of ["core"].
Added texture "font/glyph_66" of ["core"].
Added texture "font/glyph_67" of ["core"].
Added texture "font/glyph_68" of ["core"].
Added texture "font/glyph_69" of ["core"].
Added texture "font/glyph_6A" of ["core"].
Added texture "font/glyph_6B" of ["core"].
Added texture "font/glyph_6C" of ["core"].
Added texture "font/glyph_6D" of ["core"].
Added texture "font/glyph_6E" of ["core"].
Added texture "font/glyph_6F" of ["core"].
Added texture "font/glyph_70" of ["core"].
Added texture "font/glyph_71" of ["core"].
Added texture "font/glyph_72" of ["core"].
Added texture "font/glyph_73" of ["core"].
Added texture "font/glyph_74" of ["core"].
Added texture "font/glyph_75" of ["core"].
Added texture "font/glyph_76" of ["core"].
Added texture "font/glyph_77" of ["core"].
Added texture "font/glyph_78" of ["core"].
Added texture "font/glyph_79" of ["core"].
Added texture "font/glyph_7A" of ["core"].
Added texture "font/glyph_7B" of ["core"].
Added texture "font/glyph_7C" of ["core"].
Added texture "font/glyph_7D" of ["core"].
Added texture "font/glyph_7E" of ["core"].
Added texture "font/glyph_7F" of ["core"].
Added texture "font/glyph_80" of ["core"].
Added texture "font/glyph_81" of ["core"].
Added texture "font/glyph_82" of ["core"].
Added texture "font/glyph_83" of ["core"].
Added texture "font/glyph_84" of ["core"].
Added texture "font/glyph_85" of ["core"].
Added texture "font/glyph_86" of ["core"].
Added texture "font/glyph_87" of ["core"].
Added texture "font/glyph_88" of ["core"].
Added texture "font/glyph_89" of ["core"].
Added texture "font/glyph_8A" of ["core"].
Added texture "font/glyph_8B" of ["core"].
Added texture "font/glyph_8C" of ["core"].
Added texture "font/glyph_8D" of ["core"].
Added texture "font/glyph_8E" of ["core"].
Added texture "font/glyph_8F" of ["core"].
Added texture "font/glyph_90" of ["core"].
Added texture "font/glyph_91" of ["core"].
Added texture "font/glyph_92" of ["core"].
Added texture "font/glyph_93" of ["core"].
Added texture "font/glyph_94" of ["core"].
Added texture "font/glyph_95" of ["core"].
Added texture "font/glyph_96" of ["core"].
Added texture "font/glyph_97" of ["core"].
Added texture "font/glyph_98" of ["core"].
