Difference of "textures" between "a0.16.0_build3" (beta of "a0.16.0") and "a0.16.0_build4" (beta of "a0.16.0").

Total texture: 1869 (+34, -71)
Moved texture "images/font/ascii_sga.png" to "font/ascii_sga.png".
Moved texture "images/font/default8.png" to "font/default8.png".
Moved texture "images/font/glyph_00.png" to "font/glyph_00.png".
Moved texture "images/font/glyph_01.png" to "font/glyph_01.png".
Moved texture "images/font/glyph_02.png" to "font/glyph_02.png".
Moved texture "images/font/glyph_03.png" to "font/glyph_03.png".
Moved texture "images/font/glyph_04.png" to "font/glyph_04.png".
Moved texture "images/font/glyph_05.png" to "font/glyph_05.png".
Moved texture "images/font/glyph_06.png" to "font/glyph_06.png".
Moved texture "images/font/glyph_07.png" to "font/glyph_07.png".
Moved texture "images/font/glyph_09.png" to "font/glyph_09.png".
Moved texture "images/font/glyph_0A.png" to "font/glyph_0A.png".
Moved texture "images/font/glyph_0B.png" to "font/glyph_0B.png".
Moved texture "images/font/glyph_0C.png" to "font/glyph_0C.png".
Moved texture "images/font/glyph_0D.png" to "font/glyph_0D.png".
Moved texture "images/font/glyph_0E.png" to "font/glyph_0E.png".
Moved texture "images/font/glyph_0F.png" to "font/glyph_0F.png".
Moved texture "images/font/glyph_10.png" to "font/glyph_10.png".
Moved texture "images/font/glyph_11.png" to "font/glyph_11.png".
Moved texture "images/font/glyph_12.png" to "font/glyph_12.png".
Moved texture "images/font/glyph_13.png" to "font/glyph_13.png".
Moved texture "images/font/glyph_14.png" to "font/glyph_14.png".
Moved texture "images/font/glyph_15.png" to "font/glyph_15.png".
Moved texture "images/font/glyph_16.png" to "font/glyph_16.png".
Moved texture "images/font/glyph_17.png" to "font/glyph_17.png".
Moved texture "images/font/glyph_18.png" to "font/glyph_18.png".
Moved texture "images/font/glyph_19.png" to "font/glyph_19.png".
Moved texture "images/font/glyph_1A.png" to "font/glyph_1A.png".
Moved texture "images/font/glyph_1B.png" to "font/glyph_1B.png".
Moved texture "images/font/glyph_1C.png" to "font/glyph_1C.png".
Moved texture "images/font/glyph_1D.png" to "font/glyph_1D.png".
Moved texture "images/font/glyph_1E.png" to "font/glyph_1E.png".
Moved texture "images/font/glyph_1F.png" to "font/glyph_1F.png".
Moved texture "images/font/glyph_20.png" to "font/glyph_20.png".
Moved texture "images/font/glyph_21.png" to "font/glyph_21.png".
Moved texture "images/font/glyph_22.png" to "font/glyph_22.png".
Moved texture "images/font/glyph_23.png" to "font/glyph_23.png".
Moved texture "images/font/glyph_24.png" to "font/glyph_24.png".
Moved texture "images/font/glyph_25.png" to "font/glyph_25.png".
Moved texture "images/font/glyph_26.png" to "font/glyph_26.png".
Moved texture "images/font/glyph_27.png" to "font/glyph_27.png".
Moved texture "images/font/glyph_28.png" to "font/glyph_28.png".
Moved texture "images/font/glyph_29.png" to "font/glyph_29.png".
Moved texture "images/font/glyph_2A.png" to "font/glyph_2A.png".
Moved texture "images/font/glyph_2B.png" to "font/glyph_2B.png".
Moved texture "images/font/glyph_2C.png" to "font/glyph_2C.png".
Moved texture "images/font/glyph_2D.png" to "font/glyph_2D.png".
Moved texture "images/font/glyph_2E.png" to "font/glyph_2E.png".
Moved texture "images/font/glyph_2F.png" to "font/glyph_2F.png".
Moved texture "images/font/glyph_30.png" to "font/glyph_30.png".
Moved texture "images/font/glyph_31.png" to "font/glyph_31.png".
Moved texture "images/font/glyph_32.png" to "font/glyph_32.png".
Moved texture "images/font/glyph_33.png" to "font/glyph_33.png".
Moved texture "images/font/glyph_34.png" to "font/glyph_34.png".
Moved texture "images/font/glyph_35.png" to "font/glyph_35.png".
Moved texture "images/font/glyph_36.png" to "font/glyph_36.png".
Moved texture "images/font/glyph_37.png" to "font/glyph_37.png".
Moved texture "images/font/glyph_38.png" to "font/glyph_38.png".
Moved texture "images/font/glyph_39.png" to "font/glyph_39.png".
Moved texture "images/font/glyph_3A.png" to "font/glyph_3A.png".
Moved texture "images/font/glyph_3B.png" to "font/glyph_3B.png".
Moved texture "images/font/glyph_3C.png" to "font/glyph_3C.png".
Moved texture "images/font/glyph_3D.png" to "font/glyph_3D.png".
Moved texture "images/font/glyph_3E.png" to "font/glyph_3E.png".
Moved texture "images/font/glyph_3F.png" to "font/glyph_3F.png".
Moved texture "images/font/glyph_40.png" to "font/glyph_40.png".
Moved texture "images/font/glyph_41.png" to "font/glyph_41.png".
Moved texture "images/font/glyph_42.png" to "font/glyph_42.png".
